bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
"If you cut your finger, what should you do first?",Tell an adult.,Ask for help.,Keep it clean.,Wash it and put a bandage on.,Do not touch dirty things.
Your chest may need rest from running.,I will ice it and rest.,Can I do light exercise?,Okay. No running for now.,I understand.,How long should I rest?
You hurt your tummy while running. How bad is the pain now?,Strong if I put weight on it.,Moderate when I move.,"Mild, but annoying.",Better than yesterday.,Still sore at night.
When should you seek urgent care instead of waiting?,If symptoms rapidly get worse.,If there’s confusion or fainting.,If the fever is very high and persistent.,If pain suddenly becomes severe.,If breathing becomes difficult.
Someone is badly hurt. What should you do?,Do not move them if the injury looks serious.,Ask an adult for help right away.,Call emergency services.,Stay calm and check if they can breathe.,Keep them safe until help arrives.
There is bleeding from a small cut. What is a good first step?,Raise the hand if it is safe.,Press clean cloth on the cut.,Put on a bandage.,Get adult help if bleeding continues.,Wash the area if possible.
You touched something hot. What should you do?,Keep the area clean.,Do not put ice directly on it.,Cool it with running water.,Tell an adult.,Seek help if it looks serious.
Did this happen while you were running?,"No, I was resting.",Maybe. I am not sure.,"Yes, during running.","Yes, after school sports.","No, it started later."
"If you cut your finger, what should you do first?",Wash it and put a bandage on.,Tell an adult.,Keep it clean.,Ask for help.,Do not touch dirty things.
Your chest may need rest from running.,I will ice it and rest.,Can I do light exercise?,I understand.,Okay. No running for now.,How long should I rest?
You hurt your head while running. How bad is the pain now?,Still sore at night.,Strong if I put weight on it.,Better than yesterday.,Moderate when I move.,"Mild, but annoying."
When should you seek urgent care instead of waiting?,If pain suddenly becomes severe.,If symptoms rapidly get worse.,If the fever is very high and persistent.,If breathing becomes difficult.,If there’s confusion or fainting.
Someone is badly hurt. What should you do?,Ask an adult for help right away.,Keep them safe until help arrives.,Do not move them if the injury looks serious.,Call emergency services.,Stay calm and check if they can breathe.
There is bleeding from a small cut. What is a good first step?,Put on a bandage.,Raise the hand if it is safe.,Press clean cloth on the cut.,Get adult help if bleeding continues.,Wash the area if possible.
You touched something hot. What should you do?,Seek help if it looks serious.,Tell an adult.,Cool it with running water.,Keep the area clean.,Do not put ice directly on it.
Did this happen while you were running?,"Yes, after school sports.",Maybe. I am not sure.,"Yes, during running.","No, I was resting.","No, it started later."
"If you cut your finger, what should you do first?",Keep it clean.,Wash it and put a bandage on.,Do not touch dirty things.,Tell an adult.,Ask for help.
Your back may need rest from running.,I will ice it and rest.,Okay. No running for now.,How long should I rest?,I understand.,Can I do light exercise?
You hurt your head while running. How bad is the pain now?,Better than yesterday.,"Mild, but annoying.",Strong if I put weight on it.,Moderate when I move.,Still sore at night.
When should you seek urgent care instead of waiting?,If the fever is very high and persistent.,If breathing becomes difficult.,If there’s confusion or fainting.,If symptoms rapidly get worse.,If pain suddenly becomes severe.
Someone is badly hurt. What should you do?,Call emergency services.,Stay calm and check if they can breathe.,Keep them safe until help arrives.,Do not move them if the injury looks serious.,Ask an adult for help right away.
There is bleeding from a small cut. What is a good first step?,Wash the area if possible.,Put on a bandage.,Get adult help if bleeding continues.,Raise the hand if it is safe.,Press clean cloth on the cut.
You touched something hot. What should you do?,Keep the area clean.,Do not put ice directly on it.,Cool it with running water.,Tell an adult.,Seek help if it looks serious.
Did this happen while you were running?,"Yes, during running.",Maybe. I am not sure.,"No, I was resting.","Yes, after school sports.","No, it started later."
"If you cut your finger, what should you do first?",Ask for help.,Do not touch dirty things.,Keep it clean.,Tell an adult.,Wash it and put a bandage on.
Your back may need rest from running.,I understand.,Can I do light exercise?,How long should I rest?,Okay. No running for now.,I will ice it and rest.
You hurt your nose while running. How bad is the pain now?,Better than yesterday.,"Mild, but annoying.",Strong if I put weight on it.,Still sore at night.,Moderate when I move.
When should you seek urgent care instead of waiting?,If symptoms rapidly get worse.,If breathing becomes difficult.,If there’s confusion or fainting.,If the fever is very high and persistent.,If pain suddenly becomes severe.
Someone is badly hurt. What should you do?,Keep them safe until help arrives.,Call emergency services.,Ask an adult for help right away.,Do not move them if the injury looks serious.,Stay calm and check if they can breathe.
There is bleeding from a small cut. What is a good first step?,Press clean cloth on the cut.,Put on a bandage.,Wash the area if possible.,Get adult help if bleeding continues.,Raise the hand if it is safe.
You touched something hot. What should you do?,Cool it with running water.,Tell an adult.,Seek help if it looks serious.,Do not put ice directly on it.,Keep the area clean.
Did this happen while you were running?,"No, it started later.",Maybe. I am not sure.,"Yes, after school sports.","No, I was resting.","Yes, during running."
"If you cut your finger, what should you do first?",Tell an adult.,Keep it clean.,Ask for help.,Wash it and put a bandage on.,Do not touch dirty things.
Your knee may need rest from running.,I will ice it and rest.,I understand.,How long should I rest?,Can I do light exercise?,Okay. No running for now.
You hurt your nose while running. How bad is the pain now?,Moderate when I move.,Strong if I put weight on it.,Better than yesterday.,"Mild, but annoying.",Still sore at night.
When should you seek urgent care instead of waiting?,If symptoms rapidly get worse.,If breathing becomes difficult.,If pain suddenly becomes severe.,If the fever is very high and persistent.,If there’s confusion or fainting.
Someone is badly hurt. What should you do?,Ask an adult for help right away.,Stay calm and check if they can breathe.,Call emergency services.,Keep them safe until help arrives.,Do not move them if the injury looks serious.
There is bleeding from a small cut. What is a good first step?,Press clean cloth on the cut.,Get adult help if bleeding continues.,Raise the hand if it is safe.,Put on a bandage.,Wash the area if possible.
You touched something hot. What should you do?,Keep the area clean.,Cool it with running water.,Do not put ice directly on it.,Tell an adult.,Seek help if it looks serious.
Did this happen while you were running?,"Yes, after school sports.","Yes, during running.","No, I was resting.","No, it started later.",Maybe. I am not sure.
"If you cut your finger, what should you do first?",Wash it and put a bandage on.,Keep it clean.,Tell an adult.,Do not touch dirty things.,Ask for help.
Your knee may need rest from running.,Can I do light exercise?,I understand.,Okay. No running for now.,How long should I rest?,I will ice it and rest.
You hurt your nose while running. How bad is the pain now?,"Mild, but annoying.",Moderate when I move.,Better than yesterday.,Strong if I put weight on it.,Still sore at night.
When should you seek urgent care instead of waiting?,If symptoms rapidly get worse.,If there’s confusion or fainting.,If breathing becomes difficult.,If pain suddenly becomes severe.,If the fever is very high and persistent.
Someone is badly hurt. What should you do?,Do not move them if the injury looks serious.,Ask an adult for help right away.,Call emergency services.,Keep them safe until help arrives.,Stay calm and check if they can breathe.
There is bleeding from a small cut. What is a good first step?,Put on a bandage.,Wash the area if possible.,Press clean cloth on the cut.,Raise the hand if it is safe.,Get adult help if bleeding continues.
You touched something hot. What should you do?,Cool it with running water.,Keep the area clean.,Seek help if it looks serious.,Tell an adult.,Do not put ice directly on it.
Did this happen while you were running?,"No, I was resting.","Yes, during running.","No, it started later.",Maybe. I am not sure.,"Yes, after school sports."
"If you cut your finger, what should you do first?",Wash it and put a bandage on.,Do not touch dirty things.,Keep it clean.,Tell an adult.,Ask for help.
Your knee may need rest from running.,Okay. No running for now.,I will ice it and rest.,I understand.,How long should I rest?,Can I do light exercise?
You hurt your foot while running. How bad is the pain now?,Still sore at night.,Better than yesterday.,Strong if I put weight on it.,"Mild, but annoying.",Moderate when I move.
When should you seek urgent care instead of waiting?,If pain suddenly becomes severe.,If the fever is very high and persistent.,If breathing becomes difficult.,If symptoms rapidly get worse.,If there’s confusion or fainting.
Someone is badly hurt. What should you do?,Ask an adult for help right away.,Stay calm and check if they can breathe.,Keep them safe until help arrives.,Do not move them if the injury looks serious.,Call emergency services.
There is bleeding from a small cut. What is a good first step?,Put on a bandage.,Raise the hand if it is safe.,Get adult help if bleeding continues.,Press clean cloth on the cut.,Wash the area if possible.
You touched something hot. What should you do?,Do not put ice directly on it.,Tell an adult.,Cool it with running water.,Seek help if it looks serious.,Keep the area clean.
Did this happen while you were running?,"Yes, after school sports.","Yes, during running.","No, I was resting.","No, it started later.",Maybe. I am not sure.
"If you cut your finger, what should you do first?",Tell an adult.,Wash it and put a bandage on.,Ask for help.,Keep it clean.,Do not touch dirty things.
Your tooth may need rest from running.,Can I do light exercise?,Okay. No running for now.,I will ice it and rest.,How long should I rest?,I understand.
You hurt your foot while running. How bad is the pain now?,"Mild, but annoying.",Better than yesterday.,Moderate when I move.,Still sore at night.,Strong if I put weight on it.
When should you seek urgent care instead of waiting?,If there’s confusion or fainting.,If pain suddenly becomes severe.,If symptoms rapidly get worse.,If the fever is very high and persistent.,If breathing becomes difficult.
Someone is badly hurt. What should you do?,Do not move them if the injury looks serious.,Ask an adult for help right away.,Stay calm and check if they can breathe.,Call emergency services.,Keep them safe until help arrives.
There is bleeding from a small cut. What is a good first step?,Wash the area if possible.,Press clean cloth on the cut.,Raise the hand if it is safe.,Get adult help if bleeding continues.,Put on a bandage.
You touched something hot. What should you do?,Tell an adult.,Cool it with running water.,Seek help if it looks serious.,Keep the area clean.,Do not put ice directly on it.
Did this happen while you were running?,"Yes, after school sports.",Maybe. I am not sure.,"No, it started later.","Yes, during running.","No, I was resting."
"If you cut your finger, what should you do first?",Tell an adult.,Keep it clean.,Wash it and put a bandage on.,Ask for help.,Do not touch dirty things.
Your tooth may need rest from running.,Can I do light exercise?,I will ice it and rest.,Okay. No running for now.,I understand.,How long should I rest?
You hurt your hand while running. How bad is the pain now?,Better than yesterday.,Strong if I put weight on it.,"Mild, but annoying.",Moderate when I move.,Still sore at night.
When should you seek urgent care instead of waiting?,If pain suddenly becomes severe.,If there’s confusion or fainting.,If the fever is very high and persistent.,If symptoms rapidly get worse.,If breathing becomes difficult.
Someone is badly hurt. What should you do?,Stay calm and check if they can breathe.,Ask an adult for help right away.,Do not move them if the injury looks serious.,Call emergency services.,Keep them safe until help arrives.
There is bleeding from a small cut. What is a good first step?,Raise the hand if it is safe.,Put on a bandage.,Wash the area if possible.,Press clean cloth on the cut.,Get adult help if bleeding continues.
You touched something hot. What should you do?,Seek help if it looks serious.,Keep the area clean.,Cool it with running water.,Tell an adult.,Do not put ice directly on it.
Did this happen while you were running?,"No, I was resting.","Yes, during running.","Yes, after school sports.",Maybe. I am not sure.,"No, it started later."
"If you cut your finger, what should you do first?",Keep it clean.,Do not touch dirty things.,Tell an adult.,Ask for help.,Wash it and put a bandage on.
Your eye may need rest from running.,Can I do light exercise?,I will ice it and rest.,How long should I rest?,Okay. No running for now.,I understand.
You hurt your hand while running. How bad is the pain now?,Strong if I put weight on it.,Moderate when I move.,"Mild, but annoying.",Better than yesterday.,Still sore at night.
When should you seek urgent care instead of waiting?,If breathing becomes difficult.,If the fever is very high and persistent.,If there’s confusion or fainting.,If pain suddenly becomes severe.,If symptoms rapidly get worse.
Someone is badly hurt. What should you do?,Call emergency services.,Keep them safe until help arrives.,Do not move them if the injury looks serious.,Stay calm and check if they can breathe.,Ask an adult for help right away.
There is bleeding from a small cut. What is a good first step?,Press clean cloth on the cut.,Put on a bandage.,Get adult help if bleeding continues.,Wash the area if possible.,Raise the hand if it is safe.
You touched something hot. What should you do?,Keep the area clean.,Cool it with running water.,Tell an adult.,Do not put ice directly on it.,Seek help if it looks serious.
Did this happen while you were running?,"Yes, during running.","No, I was resting.",Maybe. I am not sure.,"Yes, after school sports.","No, it started later."
"If you cut your finger, what should you do first?",Keep it clean.,Do not touch dirty things.,Ask for help.,Tell an adult.,Wash it and put a bandage on.
Your eye may need rest from running.,How long should I rest?,Can I do light exercise?,I understand.,Okay. No running for now.,I will ice it and rest.
You hurt your hand while running. How bad is the pain now?,Strong if I put weight on it.,Better than yesterday.,"Mild, but annoying.",Moderate when I move.,Still sore at night.
When should you seek urgent care instead of waiting?,If there’s confusion or fainting.,If pain suddenly becomes severe.,If symptoms rapidly get worse.,If the fever is very high and persistent.,If breathing becomes difficult.
Someone is badly hurt. What should you do?,Ask an adult for help right away.,Call emergency services.,Do not move them if the injury looks serious.,Stay calm and check if they can breathe.,Keep them safe until help arrives.
There is bleeding from a small cut. What is a good first step?,Get adult help if bleeding continues.,Put on a bandage.,Raise the hand if it is safe.,Wash the area if possible.,Press clean cloth on the cut.
You touched something hot. What should you do?,Do not put ice directly on it.,Seek help if it looks serious.,Keep the area clean.,Tell an adult.,Cool it with running water.
Did this happen while you were running?,"No, it started later.","Yes, after school sports.","No, I was resting.","Yes, during running.",Maybe. I am not sure.
"If you cut your finger, what should you do first?",Wash it and put a bandage on.,Ask for help.,Keep it clean.,Do not touch dirty things.,Tell an adult.
Your eye may need rest from running.,How long should I rest?,I will ice it and rest.,Can I do light exercise?,I understand.,Okay. No running for now.
You hurt your chest while running. How bad is the pain now?,Moderate when I move.,Strong if I put weight on it.,"Mild, but annoying.",Still sore at night.,Better than yesterday.
When should you seek urgent care instead of waiting?,If there’s confusion or fainting.,If symptoms rapidly get worse.,If breathing becomes difficult.,If the fever is very high and persistent.,If pain suddenly becomes severe.
Someone is badly hurt. What should you do?,Stay calm and check if they can breathe.,Call emergency services.,Ask an adult for help right away.,Keep them safe until help arrives.,Do not move them if the injury looks serious.
There is bleeding from a small cut. What is a good first step?,Get adult help if bleeding continues.,Press clean cloth on the cut.,Wash the area if possible.,Raise the hand if it is safe.,Put on a bandage.
You touched something hot. What should you do?,Tell an adult.,Cool it with running water.,Do not put ice directly on it.,Seek help if it looks serious.,Keep the area clean.
Did this happen while you were running?,"No, I was resting.","No, it started later.","Yes, after school sports.","Yes, during running.",Maybe. I am not sure.
"If you cut your finger, what should you do first?",Ask for help.,Tell an adult.,Keep it clean.,Wash it and put a bandage on.,Do not touch dirty things.
Your ear may need rest from running.,Okay. No running for now.,I will ice it and rest.,I understand.,How long should I rest?,Can I do light exercise?
You hurt your chest while running. How bad is the pain now?,Moderate when I move.,Better than yesterday.,Still sore at night.,Strong if I put weight on it.,"Mild, but annoying."
When should you seek urgent care instead of waiting?,If pain suddenly becomes severe.,If breathing becomes difficult.,If symptoms rapidly get worse.,If there’s confusion or fainting.,If the fever is very high and persistent.
Someone is badly hurt. What should you do?,Do not move them if the injury looks serious.,Ask an adult for help right away.,Keep them safe until help arrives.,Call emergency services.,Stay calm and check if they can breathe.
There is bleeding from a small cut. What is a good first step?,Wash the area if possible.,Press clean cloth on the cut.,Raise the hand if it is safe.,Get adult help if bleeding continues.,Put on a bandage.
You touched something hot. What should you do?,Tell an adult.,Seek help if it looks serious.,Keep the area clean.,Cool it with running water.,Do not put ice directly on it.
Did this happen while you were running?,"No, it started later.","Yes, after school sports.",Maybe. I am not sure.,"No, I was resting.","Yes, during running."
"If you cut your finger, what should you do first?",Keep it clean.,Ask for help.,Tell an adult.,Do not touch dirty things.,Wash it and put a bandage on.
Your ear may need rest from running.,How long should I rest?,I will ice it and rest.,Can I do light exercise?,Okay. No running for now.,I understand.
You hurt your back while running. How bad is the pain now?,Moderate when I move.,Still sore at night.,Better than yesterday.,"Mild, but annoying.",Strong if I put weight on it.
When should you seek urgent care instead of waiting?,If the fever is very high and persistent.,If there’s confusion or fainting.,If pain suddenly becomes severe.,If breathing becomes difficult.,If symptoms rapidly get worse.
Someone is badly hurt. What should you do?,Ask an adult for help right away.,Keep them safe until help arrives.,Call emergency services.,Stay calm and check if they can breathe.,Do not move them if the injury looks serious.
There is bleeding from a small cut. What is a good first step?,Press clean cloth on the cut.,Put on a bandage.,Get adult help if bleeding continues.,Wash the area if possible.,Raise the hand if it is safe.
You touched something hot. What should you do?,Do not put ice directly on it.,Keep the area clean.,Cool it with running water.,Tell an adult.,Seek help if it looks serious.
Did this happen while you were running?,"Yes, after school sports.","Yes, during running.",Maybe. I am not sure.,"No, I was resting.","No, it started later."
"If you cut your finger, what should you do first?",Do not touch dirty things.,Keep it clean.,Wash it and put a bandage on.,Tell an adult.,Ask for help.
Your throat may need rest from running.,I understand.,Okay. No running for now.,How long should I rest?,I will ice it and rest.,Can I do light exercise?
You hurt your back while running. How bad is the pain now?,Strong if I put weight on it.,Moderate when I move.,Better than yesterday.,Still sore at night.,"Mild, but annoying."
When should you seek urgent care instead of waiting?,If pain suddenly becomes severe.,If symptoms rapidly get worse.,If there’s confusion or fainting.,If breathing becomes difficult.,If the fever is very high and persistent.
Someone is badly hurt. What should you do?,Do not move them if the injury looks serious.,Ask an adult for help right away.,Keep them safe until help arrives.,Stay calm and check if they can breathe.,Call emergency services.
There is bleeding from a small cut. What is a good first step?,Wash the area if possible.,Put on a bandage.,Raise the hand if it is safe.,Press clean cloth on the cut.,Get adult help if bleeding continues.
You touched something hot. What should you do?,Seek help if it looks serious.,Cool it with running water.,Tell an adult.,Keep the area clean.,Do not put ice directly on it.
Did this happen while you were running?,"Yes, after school sports.",Maybe. I am not sure.,"No, I was resting.","Yes, during running.","No, it started later."
"If you cut your finger, what should you do first?",Do not touch dirty things.,Wash it and put a bandage on.,Ask for help.,Keep it clean.,Tell an adult.
Your throat may need rest from running.,How long should I rest?,I understand.,Can I do light exercise?,I will ice it and rest.,Okay. No running for now.
You hurt your back while running. How bad is the pain now?,Moderate when I move.,Strong if I put weight on it.,"Mild, but annoying.",Better than yesterday.,Still sore at night.
When should you seek urgent care instead of waiting?,If the fever is very high and persistent.,If pain suddenly becomes severe.,If there’s confusion or fainting.,If breathing becomes difficult.,If symptoms rapidly get worse.
Someone is badly hurt. What should you do?,Stay calm and check if they can breathe.,Call emergency services.,Keep them safe until help arrives.,Do not move them if the injury looks serious.,Ask an adult for help right away.
There is bleeding from a small cut. What is a good first step?,Get adult help if bleeding continues.,Raise the hand if it is safe.,Wash the area if possible.,Press clean cloth on the cut.,Put on a bandage.
You touched something hot. What should you do?,Tell an adult.,Cool it with running water.,Seek help if it looks serious.,Keep the area clean.,Do not put ice directly on it.
Did this happen while you were running?,"Yes, during running.","No, I was resting.","No, it started later.","Yes, after school sports.",Maybe. I am not sure.
"If you cut your finger, what should you do first?",Tell an adult.,Keep it clean.,Wash it and put a bandage on.,Ask for help.,Do not touch dirty things.
Your throat may need rest from running.,Okay. No running for now.,How long should I rest?,I understand.,I will ice it and rest.,Can I do light exercise?
You hurt your knee while running. How bad is the pain now?,Better than yesterday.,"Mild, but annoying.",Moderate when I move.,Still sore at night.,Strong if I put weight on it.
When should you seek urgent care instead of waiting?,If breathing becomes difficult.,If pain suddenly becomes severe.,If symptoms rapidly get worse.,If there’s confusion or fainting.,If the fever is very high and persistent.
Someone is badly hurt. What should you do?,Ask an adult for help right away.,Do not move them if the injury looks serious.,Stay calm and check if they can breathe.,Call emergency services.,Keep them safe until help arrives.
There is bleeding from a small cut. What is a good first step?,Raise the hand if it is safe.,Wash the area if possible.,Get adult help if bleeding continues.,Put on a bandage.,Press clean cloth on the cut.
You touched something hot. What should you do?,Tell an adult.,Keep the area clean.,Seek help if it looks serious.,Cool it with running water.,Do not put ice directly on it.
Did this happen while you were running?,Maybe. I am not sure.,"No, I was resting.","Yes, after school sports.","Yes, during running.","No, it started later."
"If you cut your finger, what should you do first?",Ask for help.,Wash it and put a bandage on.,Do not touch dirty things.,Tell an adult.,Keep it clean.
Your tummy may need rest from running.,I understand.,Can I do light exercise?,Okay. No running for now.,How long should I rest?,I will ice it and rest.
You hurt your knee while running. How bad is the pain now?,"Mild, but annoying.",Better than yesterday.,Still sore at night.,Strong if I put weight on it.,Moderate when I move.
When should you seek urgent care instead of waiting?,If symptoms rapidly get worse.,If pain suddenly becomes severe.,If there’s confusion or fainting.,If breathing becomes difficult.,If the fever is very high and persistent.
Someone is badly hurt. What should you do?,Keep them safe until help arrives.,Do not move them if the injury looks serious.,Stay calm and check if they can breathe.,Call emergency services.,Ask an adult for help right away.
There is bleeding from a small cut. What is a good first step?,Raise the hand if it is safe.,Wash the area if possible.,Press clean cloth on the cut.,Put on a bandage.,Get adult help if bleeding continues.
You touched something hot. What should you do?,Do not put ice directly on it.,Keep the area clean.,Tell an adult.,Seek help if it looks serious.,Cool it with running water.
Did this happen while you were running?,"Yes, after school sports.","No, it started later.",Maybe. I am not sure.,"No, I was resting.","Yes, during running."
"If you cut your finger, what should you do first?",Do not touch dirty things.,Tell an adult.,Keep it clean.,Ask for help.,Wash it and put a bandage on.
Your tummy may need rest from running.,I will ice it and rest.,Okay. No running for now.,Can I do light exercise?,I understand.,How long should I rest?
You hurt your tooth while running. How bad is the pain now?,Still sore at night.,Strong if I put weight on it.,"Mild, but annoying.",Moderate when I move.,Better than yesterday.
When should you seek urgent care instead of waiting?,If pain suddenly becomes severe.,If there’s confusion or fainting.,If symptoms rapidly get worse.,If breathing becomes difficult.,If the fever is very high and persistent.
Someone is badly hurt. What should you do?,Ask an adult for help right away.,Call emergency services.,Keep them safe until help arrives.,Do not move them if the injury looks serious.,Stay calm and check if they can breathe.
There is bleeding from a small cut. What is a good first step?,Raise the hand if it is safe.,Press clean cloth on the cut.,Wash the area if possible.,Put on a bandage.,Get adult help if bleeding continues.
You touched something hot. What should you do?,Tell an adult.,Seek help if it looks serious.,Cool it with running water.,Do not put ice directly on it.,Keep the area clean.
Did this happen while you were running?,"No, I was resting.",Maybe. I am not sure.,"Yes, after school sports.","Yes, during running.","No, it started later."
"If you cut your finger, what should you do first?",Wash it and put a bandage on.,Ask for help.,Do not touch dirty things.,Tell an adult.,Keep it clean.
Your head may need rest from running.,How long should I rest?,I will ice it and rest.,Can I do light exercise?,Okay. No running for now.,I understand.
You hurt your tooth while running. How bad is the pain now?,"Mild, but annoying.",Strong if I put weight on it.,Better than yesterday.,Still sore at night.,Moderate when I move.
When should you seek urgent care instead of waiting?,If pain suddenly becomes severe.,If there’s confusion or fainting.,If the fever is very high and persistent.,If breathing becomes difficult.,If symptoms rapidly get worse.
Someone is badly hurt. What should you do?,Keep them safe until help arrives.,Call emergency services.,Ask an adult for help right away.,Do not move them if the injury looks serious.,Stay calm and check if they can breathe.
There is bleeding from a small cut. What is a good first step?,Raise the hand if it is safe.,Press clean cloth on the cut.,Wash the area if possible.,Put on a bandage.,Get adult help if bleeding continues.
You touched something hot. What should you do?,Keep the area clean.,Tell an adult.,Do not put ice directly on it.,Cool it with running water.,Seek help if it looks serious.
Did this happen while you were running?,"Yes, during running.","No, it started later.","No, I was resting.",Maybe. I am not sure.,"Yes, after school sports."
"If you cut your finger, what should you do first?",Ask for help.,Tell an adult.,Wash it and put a bandage on.,Keep it clean.,Do not touch dirty things.
Your head may need rest from running.,How long should I rest?,Can I do light exercise?,I will ice it and rest.,Okay. No running for now.,I understand.
