bot_message,reply_1,reply_2,reply_3,reply_4,reply_5,topic1,topic2,topic3
Hello!,Hi!,"Hello, Benny!","Hi, friend!",Hello!,Hi there!,2,15,21
How are you?,I am okay.,I am good.,I am happy.,I am fine.,I am great!,3,11,22
What is your name?,I'm Sam.,I am Sam.,My name is Sam.,My name is Hana.,I am Hana.,1,12,23
Nice to meet you!,Nice to meet you too!,You too!,Thank you!,Hi!,Nice to meet you!,1,14,21
Say goodbye!,Bye-bye!,See you!,Bye!,Goodbye!,Good night!,2,15,21
What color is this?,It is green.,I see gray.,It is gray.,Gray.,This is gray.,3,10,14
What animal do you see?,A bear.,A fish.,It is a bear.,I see a bear.,"Look, a bear!",5,25,14
Do you like yogurt?,"No, I don't like yogurt.","Yes, I like yogurt.",Yummy!,I love yogurt!,Yes!,1,17,11
What do you want to play with?,I want the ball.,"The ball, please.","A teddy, please.",I like the ball.,Let's play with the ball.,3,10,14
How many do you see?,One toys.,One.,There are one.,Four.,I see one.,2,27,15
Who is this?,This is my mom.,My mom.,It is my mom.,My sister.,This is Luca.,1,13,22
Where are you?,In the farm.,I am at the home.,I am home.,I am at school.,At the home.,2,15,21
What can you do?,I can eat.,I can play.,I can jump.,I can run.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks a lot!,Thanks!,"Thank you, friend!",Thank you!,2,15,17
"Can I have some juice, please?","Yes, please.",Okay.,Here you are.,Please.,Yes.,7,11,22
Hello!,"Hi, friend!",Hi!,Hello!,"Hello, Benny!",Hi there!,1,14,21
How are you?,I am happy.,I am good.,I am fine.,I am okay.,I am great!,2,15,21
What is your name?,I am Noor.,I'm Noor.,My name is Leo.,My name is Noor.,I am Leo.,3,11,22
Nice to meet you!,You too!,Nice to meet you too!,Nice to meet you!,Hi!,Thank you!,1,12,23
Say goodbye!,Good night!,Bye!,Bye-bye!,See you!,Goodbye!,1,14,21
What color is this?,It is blue.,Blue.,It is green.,I see blue.,This is blue.,3,10,14
What animal do you see?,A fish.,"Look, a monkey!",A monkey.,I see a monkey.,It is a monkey.,5,25,14
Do you like yogurt?,"No, I don't like yogurt.",Yes!,"Yes, I like yogurt.",I love yogurt!,Yummy!,1,17,11
What do you want to play with?,I like the ball.,"A teddy, please.",I want the ball.,Let's play with the ball.,"The ball, please.",3,10,14
How many do you see?,There are one.,I see one.,One toys.,Four.,One.,2,27,15
Who is this?,My sister.,This is Lila.,My mom.,This is my mom.,It is my mom.,1,13,22
Where are you?,I am at the home.,At the home.,I am at school.,In the farm.,I am home.,2,15,21
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thanks!,Thanks a lot!,Thank you very much!,Thank you!,2,15,17
"Can I have some juice, please?",Here you are.,Yes.,"Yes, please.",Please.,Okay.,7,11,22
Hello!,Hi there!,Hello!,Hi!,"Hi, friend!","Hello, Benny!",1,12,23
How are you?,I am good.,I am fine.,I am happy.,I am okay.,I am great!,1,14,21
What is your name?,I am Theo.,I'm Ken.,I am Ken.,My name is Theo.,My name is Ken.,2,15,21
Nice to meet you!,Nice to meet you!,Nice to meet you too!,Hi!,Thank you!,You too!,3,11,22
Say goodbye!,See you!,Good night!,Goodbye!,Bye-bye!,Bye!,1,12,23
What color is this?,It is green.,This is purple.,I see purple.,It is purple.,Purple.,3,10,14
What animal do you see?,"Look, a monkey!",A fish.,It is a monkey.,A monkey.,I see a monkey.,5,25,14
Do you like yogurt?,"Yes, I like yogurt.","No, I don't like yogurt.",Yes!,Yummy!,I love yogurt!,1,17,11
What do you want to play with?,I like the ball.,"The ball, please.",Let's play with the ball.,I want the ball.,"A teddy, please.",3,10,14
How many do you see?,Four.,There are one.,I see one.,One.,One toys.,2,27,15
Who is this?,This is Nico.,My sister.,My mom.,It is my mom.,This is my mom.,1,13,22
Where are you?,I am at school.,I am at the home.,I am home.,At the home.,In the farm.,2,15,21
What can you do?,I can play.,I can eat.,I can jump.,I can run.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you very much!,Thank you!,"Thank you, friend!",Thanks!,2,15,17
"Can I have some juice, please?",Okay.,"Yes, please.",Here you are.,Please.,Yes.,7,11,22
Hello!,Hi!,"Hi, friend!",Hello!,"Hello, Benny!",Hi there!,3,11,22
How are you?,I am fine.,I am great!,I am happy.,I am okay.,I am good.,1,12,23
What is your name?,I am Lara.,My name is Lara.,I'm Lara.,Okay.,Okay.,1,14,21
Nice to meet you!,You too!,Hi!,Thank you!,Nice to meet you!,Nice to meet you too!,2,15,21
Say goodbye!,Bye-bye!,Good night!,Bye!,See you!,Goodbye!,3,11,22
What color is this?,This is white.,I see white.,It is white.,It is green.,White.,3,10,14
What animal do you see?,"Look, a monkey!",A fish.,I see a monkey.,A monkey.,It is a monkey.,5,25,14
Do you like yogurt?,"Yes, I like yogurt.","No, I don't like yogurt.",Yummy!,Yes!,I love yogurt!,1,17,11
What do you want to play with?,"A teddy, please.","The ball, please.",I like the ball.,I want the ball.,Let's play with the ball.,3,10,14
How many do you see?,Four.,I see one.,One.,One toys.,There are one.,2,27,15
Who is this?,My sister.,This is my mom.,My mom.,It is my mom.,This is Ana.,1,13,22
Where are you?,I am at the home.,I am at school.,In the farm.,At the home.,I am home.,2,15,21
What can you do?,I can run.,I can eat.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks a lot!,"Thank you, friend!",Thanks!,Thank you!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,"Yes, please.",Okay.,Yes.,7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hello!,Hi there!,Hi!,2,15,21
How are you?,I am fine.,I am okay.,I am good.,I am great!,I am happy.,3,11,22
What is your name?,I'm Sam.,I am Sam.,I am Mia.,My name is Mia.,My name is Sam.,1,12,23
Nice to meet you!,Hi!,You too!,Nice to meet you!,Thank you!,Nice to meet you too!,1,14,21
Say goodbye!,Bye!,Good night!,See you!,Goodbye!,Bye-bye!,2,15,21
What color is this?,I see red.,It is red.,This is red.,Red.,It is green.,3,10,14
What animal do you see?,A fish.,I see a elephant.,It is a elephant.,A elephant.,"Look, a elephant!",5,25,14
Do you like yogurt?,"No, I don't like yogurt.",Yes!,I love yogurt!,Yummy!,"Yes, I like yogurt.",1,17,11
What do you want to play with?,Let's play with the ball.,"A teddy, please.",I want the ball.,"The ball, please.",I like the ball.,3,10,14
How many do you see?,I see one.,One toys.,One.,There are one.,Four.,2,27,15
Who is this?,It is my mom.,My mom.,This is Luca.,This is my mom.,My sister.,1,13,22
Where are you?,In the farm.,At the home.,I am at school.,I am home.,I am at the home.,2,15,21
What can you do?,I can jump.,I can run.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thank you!,Thanks!,Thanks a lot!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Yes.,Okay.,Here you are.,Please.,"Yes, please.",7,11,22
Hello!,"Hi, friend!",Hi!,Hi there!,Hello!,"Hello, Benny!",1,14,21
How are you?,I am great!,I am happy.,I am okay.,I am fine.,I am good.,2,15,21
What is your name?,My name is Noor.,My name is Ken.,I am Noor.,I am Ken.,I'm Noor.,3,11,22
Nice to meet you!,Nice to meet you too!,Thank you!,Hi!,You too!,Nice to meet you!,1,12,23
Say goodbye!,See you!,Goodbye!,Bye-bye!,Bye!,Good night!,1,14,21
What color is this?,This is orange.,Orange.,It is green.,I see orange.,It is orange.,3,10,14
What animal do you see?,A elephant.,"Look, a elephant!",It is a elephant.,I see a elephant.,A fish.,5,25,14
Do you like yogurt?,I love yogurt!,Yes!,"No, I don't like yogurt.",Yummy!,"Yes, I like yogurt.",1,17,11
What do you want to play with?,I like the ball.,Let's play with the ball.,"A teddy, please.",I want the ball.,"The ball, please.",3,10,14
How many do you see?,I see one.,There are one.,One.,Four.,One toys.,2,27,15
Who is this?,It is my mom.,My mom.,My sister.,This is my mom.,This is Lila.,1,13,22
Where are you?,I am home.,I am at the home.,I am at school.,In the farm.,At the home.,2,15,21
What can you do?,I can jump.,I can run.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thanks!,"Thank you, friend!",Thank you very much!,Thank you!,2,15,17
"Can I have some juice, please?",Yes.,Here you are.,"Yes, please.",Okay.,Please.,7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hi there!,Hi!,Hello!,1,12,23
How are you?,I am fine.,I am great!,I am happy.,I am good.,I am okay.,1,14,21
What is your name?,I'm Ken.,I am Ken.,I am Yuki.,My name is Ken.,My name is Yuki.,2,15,21
Nice to meet you!,You too!,Hi!,Thank you!,Nice to meet you!,Nice to meet you too!,3,11,22
Say goodbye!,See you!,Bye!,Goodbye!,Bye-bye!,Good night!,1,12,23
What color is this?,Brown.,It is brown.,I see brown.,This is brown.,It is green.,3,10,14
What animal do you see?,"Look, a elephant!",It is a elephant.,A elephant.,I see a elephant.,A fish.,5,25,14
Do you like yogurt?,I love yogurt!,Yummy!,"Yes, I like yogurt.","No, I don't like yogurt.",Yes!,1,17,11
What do you want to play with?,I want the ball.,"A teddy, please.","The ball, please.",I like the ball.,Let's play with the ball.,3,10,14
How many do you see?,Four.,There are one.,One toys.,I see one.,One.,2,27,15
Who is this?,This is Nico.,This is my mom.,My sister.,My mom.,It is my mom.,1,13,22
Where are you?,I am at school.,At the home.,I am at the home.,I am home.,In the farm.,2,15,21
What can you do?,I can jump.,I can play.,I can eat.,I can run.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thank you!,Thanks a lot!,"Thank you, friend!",Thanks!,2,15,17
"Can I have some juice, please?","Yes, please.",Okay.,Yes.,Here you are.,Please.,7,11,22
Hello!,Hi!,"Hello, Benny!",Hello!,Hi there!,"Hi, friend!",3,11,22
How are you?,I am good.,I am happy.,I am fine.,I am okay.,I am great!,1,12,23
What is your name?,I am Lara.,I'm Lara.,My name is Luca.,My name is Lara.,I am Luca.,1,14,21
Nice to meet you!,Thank you!,You too!,Nice to meet you too!,Hi!,Nice to meet you!,2,15,21
Say goodbye!,See you!,Bye-bye!,Goodbye!,Bye!,Good night!,3,11,22
What color is this?,This is gold.,It is green.,I see gold.,Gold.,It is gold.,3,10,14
What animal do you see?,"Look, a elephant!",I see a elephant.,It is a elephant.,A elephant.,A fish.,5,25,14
Do you like yogurt?,"No, I don't like yogurt.",I love yogurt!,Yummy!,"Yes, I like yogurt.",Yes!,1,17,11
What do you want to play with?,Let's play with the ball.,"The ball, please.",I like the ball.,I want the ball.,"A teddy, please.",3,10,14
How many do you see?,One toys.,One.,I see one.,There are one.,Four.,2,27,15
Who is this?,It is my mom.,This is Ana.,This is my mom.,My mom.,My sister.,1,13,22
Where are you?,I am home.,At the home.,In the farm.,I am at school.,I am at the home.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,"Thank you, friend!",Thank you very much!,Thank you!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Please.,Okay.,Here you are.,"Yes, please.",Yes.,7,11,22
Hello!,Hello!,"Hello, Benny!","Hi, friend!",Hi!,Hi there!,2,15,21
How are you?,I am happy.,I am good.,I am okay.,I am fine.,I am great!,3,11,22
What is your name?,I am Sara.,My name is Sara.,I am Sam.,I'm Sam.,My name is Sam.,1,12,23
Nice to meet you!,You too!,Nice to meet you too!,Hi!,Nice to meet you!,Thank you!,1,14,21
Say goodbye!,Bye!,Bye-bye!,See you!,Goodbye!,Good night!,2,15,21
What color is this?,It is green.,Green.,This is green.,I see green.,Okay.,3,10,14
What animal do you see?,It is a rabbit.,A rabbit.,I see a rabbit.,"Look, a rabbit!",A fish.,5,25,14
Do you like yogurt?,"No, I don't like yogurt.",I love yogurt!,Yes!,"Yes, I like yogurt.",Yummy!,1,17,11
What do you want to play with?,Let's play with the ball.,"A teddy, please.",I like the ball.,I want the ball.,"The ball, please.",3,10,14
How many do you see?,I see one.,There are one.,Four.,One.,One toys.,2,27,15
Who is this?,It is my mom.,This is Luca.,My mom.,My sister.,This is my mom.,1,13,22
Where are you?,I am at the home.,At the home.,In the farm.,I am at school.,I am home.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thanks a lot!,Thank you very much!,Thanks!,2,15,17
"Can I have some juice, please?",Okay.,Please.,Yes.,Here you are.,"Yes, please.",7,11,22
Hello!,Hello!,"Hello, Benny!","Hi, friend!",Hi there!,Hi!,1,14,21
How are you?,I am great!,I am happy.,I am okay.,I am fine.,I am good.,2,15,21
What is your name?,I'm Noor.,My name is Noor.,My name is Ana.,I am Noor.,I am Ana.,3,11,22
Nice to meet you!,Hi!,Thank you!,You too!,Nice to meet you!,Nice to meet you too!,1,12,23
Say goodbye!,Good night!,Bye!,See you!,Bye-bye!,Goodbye!,1,14,21
What color is this?,It is pink.,This is pink.,I see pink.,It is green.,Pink.,3,10,14
What animal do you see?,"Look, a rabbit!",I see a rabbit.,It is a rabbit.,A rabbit.,A fish.,5,25,14
Do you like yogurt?,Yummy!,"No, I don't like yogurt.",Yes!,I love yogurt!,"Yes, I like yogurt.",1,17,11
What do you want to play with?,"The ball, please.",I want the ball.,Let's play with the ball.,"A teddy, please.",I like the ball.,3,10,14
How many do you see?,I see one.,There are one.,Four.,One toys.,One.,2,27,15
Who is this?,This is Lila.,It is my mom.,My mom.,My sister.,This is my mom.,1,13,22
Where are you?,I am at school.,I am at the home.,I am home.,In the farm.,At the home.,2,15,21
What can you do?,I can run.,I can play.,I can eat.,I can jump.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thanks a lot!,Thank you very much!,Thanks!,2,15,17
"Can I have some juice, please?","Yes, please.",Here you are.,Yes.,Please.,Okay.,7,11,22
Hello!,"Hello, Benny!",Hi!,"Hi, friend!",Hi there!,Hello!,1,12,23
How are you?,I am fine.,I am happy.,I am good.,I am great!,I am okay.,1,14,21
What is your name?,I am Rui.,I'm Ken.,My name is Rui.,My name is Ken.,I am Ken.,2,15,21
Nice to meet you!,Hi!,Thank you!,You too!,Nice to meet you!,Nice to meet you too!,3,11,22
Say goodbye!,Good night!,Goodbye!,Bye!,See you!,Bye-bye!,1,12,23
What color is this?,I see gray.,This is gray.,Gray.,It is green.,It is gray.,3,10,14
What animal do you see?,It is a rabbit.,A fish.,A rabbit.,I see a rabbit.,"Look, a rabbit!",5,25,14
Do you like yogurt?,I love yogurt!,"No, I don't like yogurt.",Yummy!,Yes!,"Yes, I like yogurt.",1,17,11
What do you want to play with?,I want the ball.,I like the ball.,"A teddy, please.",Let's play with the ball.,"The ball, please.",3,10,14
How many do you see?,One toys.,I see one.,Four.,One.,There are one.,2,27,15
Who is this?,This is my mom.,It is my mom.,This is Nico.,My mom.,My sister.,1,13,22
Where are you?,At the home.,I am at the home.,I am at school.,I am home.,In the farm.,2,15,21
What can you do?,I can jump.,I can play.,I can eat.,I can run.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thanks!,"Thank you, friend!",Thank you!,Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,Yes.,Okay.,Please.,"Yes, please.",7,11,22
Hello!,Hi!,"Hi, friend!",Hi there!,"Hello, Benny!",Hello!,3,11,22
How are you?,I am fine.,I am good.,I am great!,I am happy.,I am okay.,1,12,23
What is your name?,I am Lara.,My name is Hana.,My name is Lara.,I'm Lara.,I am Hana.,1,14,21
Nice to meet you!,You too!,Hi!,Thank you!,Nice to meet you!,Nice to meet you too!,2,15,21
Say goodbye!,Bye!,Goodbye!,Bye-bye!,Good night!,See you!,3,11,22
What color is this?,It is yellow.,Yellow.,This is yellow.,It is green.,I see yellow.,3,10,14
What animal do you see?,It is a mouse.,"Look, a mouse!",A mouse.,A fish.,I see a mouse.,5,25,14
Do you like yogurt?,I love yogurt!,Yummy!,"No, I don't like yogurt.",Yes!,"Yes, I like yogurt.",1,17,11
What do you want to play with?,I want the ball.,I like the ball.,Let's play with the ball.,"The ball, please.","A teddy, please.",3,10,14
How many do you see?,I see one.,One.,Four.,One toys.,There are one.,2,27,15
Who is this?,This is my mom.,My mom.,This is Ana.,My sister.,It is my mom.,1,13,22
Where are you?,I am at school.,In the farm.,I am at the home.,I am home.,At the home.,2,15,21
What can you do?,I can jump.,I can run.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks a lot!,Thank you very much!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Yes.,Please.,"Yes, please.",Here you are.,Okay.,7,11,22
Hello!,Hi!,"Hello, Benny!","Hi, friend!",Hello!,Hi there!,2,15,21
How are you?,I am happy.,I am okay.,I am good.,I am great!,I am fine.,3,11,22
What is your name?,I am Sam.,My name is Sam.,I'm Sam.,Okay.,Okay.,1,12,23
Nice to meet you!,Nice to meet you!,You too!,Hi!,Thank you!,Nice to meet you too!,1,14,21
Say goodbye!,Goodbye!,See you!,Bye-bye!,Bye!,Good night!,2,15,21
What color is this?,It is green.,Purple.,I see purple.,This is purple.,It is purple.,3,10,14
What animal do you see?,It is a mouse.,A fish.,A mouse.,I see a mouse.,"Look, a mouse!",5,25,14
Do you like yogurt?,Yummy!,I love yogurt!,Yes!,"Yes, I like yogurt.","No, I don't like yogurt.",1,17,11
What do you want to play with?,"The ball, please.",Let's play with the ball.,I want the ball.,"A teddy, please.",I like the ball.,3,10,14
How many do you see?,One toys.,One.,I see one.,There are one.,Four.,2,27,15
Who is this?,This is Luca.,It is my mom.,This is my mom.,My sister.,My mom.,1,13,22
Where are you?,At the home.,I am at school.,I am at the home.,I am home.,In the farm.,2,15,21
What can you do?,I can run.,I can eat.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you!,Thank you very much!,Thanks!,Thanks a lot!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Okay.,Here you are.,Please.,Yes.,"Yes, please.",7,11,22
Hello!,Hi!,Hi there!,"Hello, Benny!",Hello!,"Hi, friend!",1,14,21
How are you?,I am good.,I am fine.,I am happy.,I am okay.,I am great!,2,15,21
What is your name?,I am Theo.,I am Noor.,My name is Theo.,My name is Noor.,I'm Noor.,3,11,22
Nice to meet you!,Thank you!,Nice to meet you too!,Nice to meet you!,Hi!,You too!,1,12,23
Say goodbye!,See you!,Bye!,Goodbye!,Bye-bye!,Good night!,1,14,21
What color is this?,It is green.,It is white.,White.,I see white.,This is white.,3,10,14
What animal do you see?,It is a mouse.,I see a mouse.,A fish.,"Look, a mouse!",A mouse.,5,25,14
Do you like yogurt?,I love yogurt!,"Yes, I like yogurt.",Yes!,Yummy!,"No, I don't like yogurt.",1,17,11
What do you want to play with?,Let's play with the ball.,I like the ball.,"The ball, please.",I want the ball.,"A teddy, please.",3,10,14
How many do you see?,Four.,One.,I see one.,There are one.,One toys.,2,27,15
Who is this?,My mom.,This is Lila.,This is my mom.,It is my mom.,My sister.,1,13,22
Where are you?,At the home.,In the farm.,I am home.,I am at school.,I am at the home.,2,15,21
What can you do?,I can run.,I can play.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thank you!,Thanks!,Thanks a lot!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Yes.,Okay.,Please.,Here you are.,"Yes, please.",7,11,22
Hello!,Hi there!,Hi!,"Hello, Benny!",Hello!,"Hi, friend!",1,12,23
How are you?,I am okay.,I am fine.,I am happy.,I am great!,I am good.,1,14,21
What is your name?,My name is Ken.,I am Ken.,My name is Lara.,I'm Ken.,I am Lara.,2,15,21
Nice to meet you!,Nice to meet you!,Nice to meet you too!,Thank you!,Hi!,You too!,3,11,22
Say goodbye!,See you!,Goodbye!,Bye!,Bye-bye!,Good night!,1,12,23
What color is this?,This is blue.,It is green.,I see blue.,It is blue.,Blue.,3,10,14
What animal do you see?,"Look, a chicken!",It is a chicken.,A chicken.,I see a chicken.,A fish.,5,25,14
Do you like yogurt?,Yes!,I love yogurt!,"No, I don't like yogurt.","Yes, I like yogurt.",Yummy!,1,17,11
What do you want to play with?,"A teddy, please.",I like the ball.,I want the ball.,"The ball, please.",Let's play with the ball.,3,10,14
How many do you see?,There are one.,One toys.,I see one.,One.,Four.,2,27,15
Who is this?,My mom.,It is my mom.,My sister.,This is my mom.,This is Nico.,1,13,22
Where are you?,In the farm.,At the home.,I am at the home.,I am at school.,I am home.,2,15,21
What can you do?,I can jump.,I can eat.,I can run.,I can play.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you very much!,Thanks a lot!,Thank you!,Thanks!,2,15,17
"Can I have some juice, please?","Yes, please.",Here you are.,Please.,Okay.,Yes.,7,11,22
Hello!,Hi!,"Hi, friend!",Hello!,Hi there!,"Hello, Benny!",3,11,22
How are you?,I am great!,I am happy.,I am okay.,I am fine.,I am good.,1,12,23
What is your name?,My name is Mia.,I am Lara.,I'm Lara.,My name is Lara.,I am Mia.,1,14,21
Nice to meet you!,Nice to meet you too!,Thank you!,You too!,Nice to meet you!,Hi!,2,15,21
Say goodbye!,Good night!,See you!,Bye!,Goodbye!,Bye-bye!,3,11,22
What color is this?,It is orange.,It is green.,I see orange.,This is orange.,Orange.,3,10,14
What animal do you see?,"Look, a chicken!",I see a chicken.,A fish.,It is a chicken.,A chicken.,5,25,14
Do you like yogurt?,"Yes, I like yogurt.",I love yogurt!,"No, I don't like yogurt.",Yummy!,Yes!,1,17,11
What do you want to play with?,I like the ball.,"The ball, please.",Let's play with the ball.,"A teddy, please.",I want the ball.,3,10,14
How many do you see?,One toys.,Four.,There are one.,One.,I see one.,2,27,15
Who is this?,My sister.,My mom.,It is my mom.,This is Ana.,This is my mom.,1,13,22
Where are you?,I am at school.,I am at the home.,At the home.,I am home.,In the farm.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you very much!,Thanks!,Thank you!,"Thank you, friend!",2,15,17
"Can I have some juice, please?","Yes, please.",Yes.,Okay.,Here you are.,Please.,7,11,22
Hello!,"Hello, Benny!",Hi!,Hello!,Hi there!,"Hi, friend!",2,15,21
How are you?,I am good.,I am fine.,I am great!,I am okay.,I am happy.,3,11,22
What is your name?,My name is Sam.,I'm Sam.,I am Sam.,My name is Lila.,I am Lila.,1,12,23
Nice to meet you!,Hi!,Nice to meet you too!,Thank you!,You too!,Nice to meet you!,1,14,21
Say goodbye!,Goodbye!,Good night!,See you!,Bye-bye!,Bye!,2,15,21
What color is this?,This is black.,I see black.,It is green.,Black.,It is black.,3,10,14
What animal do you see?,A chicken.,I see a chicken.,"Look, a chicken!",It is a chicken.,A fish.,5,25,14
Do you like yogurt?,"No, I don't like yogurt.","Yes, I like yogurt.",I love yogurt!,Yummy!,Yes!,1,17,11
What do you want to play with?,I want the ball.,"The ball, please.",Let's play with the ball.,I like the ball.,"A teddy, please.",3,10,14
How many do you see?,I see one.,One.,There are one.,Four.,One toys.,2,27,15
Who is this?,This is my mom.,My sister.,My mom.,It is my mom.,This is Luca.,1,13,22
Where are you?,I am home.,I am at the home.,In the farm.,I am at school.,At the home.,2,15,21
What can you do?,I can play.,I can run.,I can eat.,I can jump.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks!,Thank you very much!,"Thank you, friend!",Thanks a lot!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,"Yes, please.",Okay.,Yes.,7,11,22
Hello!,"Hello, Benny!",Hello!,"Hi, friend!",Hi!,Hi there!,1,14,21
How are you?,I am happy.,I am fine.,I am okay.,I am good.,I am great!,2,15,21
