bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
"Can I have some juice, please?",Okay.,Here you are.,Yes.,Please.,"Yes, please."
Hello!,"Hi, friend!",Hello!,Hi there!,Hi!,"Hello, Benny!"
How are you?,I am great!,I am happy.,I am fine.,I am good.,I am okay.
What is your name?,My name is Lara.,My name is Rui.,I'm Lara.,I am Rui.,I am Lara.
Nice to meet you!,Nice to meet you!,You too!,Thank you!,Hi!,Nice to meet you too!
Say goodbye!,Good night!,Bye-bye!,Bye!,Goodbye!,See you!
What color is this?,I see red.,It is green.,This is red.,It is red.,Red.
What animal do you see?,I see a chicken.,A chicken.,It is a chicken.,A fish.,"Look, a chicken!"
Do you like milk?,"No, I don't like milk.","Yes, I like milk.",I love milk!,Yummy!,Yes!
What do you want to play with?,"The ball, please.","A teddy, please.",Let's play with the ball.,I want the ball.,I like the ball.
How many do you see?,One.,One toys.,I see one.,Four.,There are one.
Who is this?,It is my mom.,This is Ana.,My mom.,This is my mom.,My sister.
Where are you?,I am at the park.,At the park.,I am at school.,In the farm.,I am home.
What can you do?,I can run.,I can jump.,I can play.,I can eat.,Okay.
Please say thank you.,"Thank you, friend!",Thanks a lot!,Thank you very much!,Thank you!,Thanks!
"Can I have some juice, please?","Yes, please.",Here you are.,Okay.,Please.,Yes.
Hello!,Hi!,Hello!,"Hi, friend!","Hello, Benny!",Hi there!
How are you?,I am happy.,I am okay.,I am good.,I am great!,I am fine.
What is your name?,I am Sam.,My name is Hana.,I am Hana.,My name is Sam.,I'm Sam.
Nice to meet you!,Hi!,Thank you!,Nice to meet you too!,Nice to meet you!,You too!
Say goodbye!,See you!,Bye-bye!,Good night!,Bye!,Goodbye!
What color is this?,This is orange.,Orange.,It is orange.,I see orange.,It is green.
What animal do you see?,"Look, a chicken!",It is a chicken.,I see a chicken.,A fish.,A chicken.
Do you like milk?,"Yes, I like milk.",I love milk!,"No, I don't like milk.",Yes!,Yummy!
What do you want to play with?,"The ball, please.","A teddy, please.",I like the ball.,I want the ball.,Let's play with the ball.
How many do you see?,One toys.,I see one.,There are one.,Four.,One.
Who is this?,It is my mom.,My sister.,My mom.,This is Luca.,This is my mom.
Where are you?,I am at the park.,At the park.,I am at school.,In the farm.,I am home.
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.
Please say thank you.,Thank you very much!,Thanks a lot!,"Thank you, friend!",Thank you!,Thanks!
"Can I have some juice, please?",Please.,Here you are.,Okay.,"Yes, please.",Yes.
Hello!,"Hi, friend!",Hi!,Hello!,"Hello, Benny!",Hi there!
How are you?,I am okay.,I am great!,I am fine.,I am happy.,I am good.
What is your name?,I'm Noor.,I am Leo.,I am Noor.,My name is Noor.,My name is Leo.
Nice to meet you!,Nice to meet you too!,Thank you!,You too!,Nice to meet you!,Hi!
Say goodbye!,Bye-bye!,See you!,Goodbye!,Bye!,Good night!
What color is this?,It is brown.,I see brown.,Brown.,It is green.,This is brown.
What animal do you see?,It is a chicken.,"Look, a chicken!",A chicken.,A fish.,I see a chicken.
Do you like milk?,I love milk!,"No, I don't like milk.",Yes!,"Yes, I like milk.",Yummy!
What do you want to play with?,I want the ball.,Let's play with the ball.,"A teddy, please.",I like the ball.,"The ball, please."
How many do you see?,Four.,One.,I see one.,One toys.,There are one.
Who is this?,My mom.,This is Lila.,My sister.,This is my mom.,It is my mom.
Where are you?,I am home.,At the park.,I am at the park.,I am at school.,In the farm.
What can you do?,I can run.,I can play.,I can jump.,I can eat.,Okay.
Please say thank you.,Thanks a lot!,Thank you!,"Thank you, friend!",Thank you very much!,Thanks!
"Can I have some juice, please?",Okay.,Please.,"Yes, please.",Here you are.,Yes.
Hello!,Hi there!,"Hi, friend!",Hi!,Hello!,"Hello, Benny!"
How are you?,I am happy.,I am great!,I am okay.,I am good.,I am fine.
What is your name?,I am Ken.,My name is Theo.,My name is Ken.,I'm Ken.,I am Theo.
Nice to meet you!,Thank you!,Hi!,You too!,Nice to meet you!,Nice to meet you too!
Say goodbye!,See you!,Good night!,Bye-bye!,Bye!,Goodbye!
What color is this?,It is green.,Gold.,It is gold.,This is gold.,I see gold.
What animal do you see?,I see a chicken.,A fish.,It is a chicken.,A chicken.,"Look, a chicken!"
Do you like milk?,Yes!,"Yes, I like milk.",I love milk!,"No, I don't like milk.",Yummy!
What do you want to play with?,Let's play with the ball.,"A teddy, please.",I like the ball.,"The ball, please.",I want the ball.
How many do you see?,Four.,There are one.,One.,One toys.,I see one.
Who is this?,My sister.,It is my mom.,This is Nico.,My mom.,This is my mom.
Where are you?,I am home.,I am at school.,I am at the park.,At the park.,In the farm.
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.
Please say thank you.,"Thank you, friend!",Thank you very much!,Thanks a lot!,Thanks!,Thank you!
"Can I have some juice, please?",Please.,Yes.,Here you are.,"Yes, please.",Okay.
Hello!,"Hi, friend!",Hi there!,Hi!,"Hello, Benny!",Hello!
How are you?,I am fine.,I am good.,I am great!,I am okay.,I am happy.
What is your name?,My name is Lara.,I am Lara.,I'm Lara.,Okay.,Okay.
Nice to meet you!,Thank you!,Hi!,Nice to meet you too!,You too!,Nice to meet you!
Say goodbye!,Goodbye!,Good night!,See you!,Bye!,Bye-bye!
What color is this?,It is green.,Green.,This is green.,I see green.,Okay.
What animal do you see?,"Look, a bee!",I see a bee.,It is a bee.,A bee.,A fish.
Do you like milk?,"No, I don't like milk.",Yummy!,I love milk!,"Yes, I like milk.",Yes!
What do you want to play with?,I like the ball.,I want the ball.,"A teddy, please.","The ball, please.",Let's play with the ball.
How many do you see?,One toys.,One.,There are one.,I see one.,Four.
Who is this?,My mom.,My sister.,This is my mom.,This is Ana.,It is my mom.
Where are you?,I am home.,I am at school.,At the park.,I am at the park.,In the farm.
What can you do?,I can run.,I can play.,I can eat.,I can jump.,Okay.
Please say thank you.,"Thank you, friend!",Thank you very much!,Thanks!,Thanks a lot!,Thank you!
"Can I have some juice, please?",Here you are.,Okay.,"Yes, please.",Yes.,Please.
Hello!,"Hello, Benny!","Hi, friend!",Hi!,Hello!,Hi there!
How are you?,I am okay.,I am happy.,I am good.,I am fine.,I am great!
What is your name?,I am Sam.,My name is Mia.,I'm Sam.,I am Mia.,My name is Sam.
Nice to meet you!,Nice to meet you!,Hi!,Nice to meet you too!,You too!,Thank you!
Say goodbye!,See you!,Bye!,Goodbye!,Bye-bye!,Good night!
What color is this?,Pink.,It is green.,It is pink.,I see pink.,This is pink.
What animal do you see?,A bee.,"Look, a bee!",A fish.,It is a bee.,I see a bee.
Do you like milk?,"No, I don't like milk.",Yes!,Yummy!,"Yes, I like milk.",I love milk!
What do you want to play with?,Let's play with the ball.,"A teddy, please.",I want the ball.,I like the ball.,"The ball, please."
How many do you see?,Four.,I see one.,One.,There are one.,One toys.
Who is this?,This is Luca.,My mom.,This is my mom.,My sister.,It is my mom.
Where are you?,At the park.,I am at the park.,I am home.,In the farm.,I am at school.
What can you do?,I can jump.,I can play.,I can eat.,I can run.,Okay.
Please say thank you.,Thank you!,Thanks a lot!,Thank you very much!,"Thank you, friend!",Thanks!
"Can I have some juice, please?",Please.,Here you are.,Yes.,"Yes, please.",Okay.
Hello!,Hi there!,"Hello, Benny!","Hi, friend!",Hi!,Hello!
How are you?,I am great!,I am good.,I am happy.,I am okay.,I am fine.
What is your name?,I am Ken.,My name is Ken.,I'm Noor.,My name is Noor.,I am Noor.
Nice to meet you!,Thank you!,Nice to meet you too!,Nice to meet you!,You too!,Hi!
Say goodbye!,Bye-bye!,See you!,Good night!,Goodbye!,Bye!
What color is this?,This is gray.,I see gray.,Gray.,It is green.,It is gray.
What animal do you see?,A fish.,It is a bee.,A bee.,"Look, a bee!",I see a bee.
Do you like milk?,"No, I don't like milk.",I love milk!,Yes!,Yummy!,"Yes, I like milk."
What do you want to play with?,I want the ball.,I like the ball.,"The ball, please.",Let's play with the ball.,"A teddy, please."
How many do you see?,One toys.,Four.,There are one.,I see one.,One.
Who is this?,This is my mom.,My sister.,It is my mom.,This is Lila.,My mom.
Where are you?,In the farm.,I am home.,I am at school.,At the park.,I am at the park.
What can you do?,I can jump.,I can play.,I can run.,I can eat.,Okay.
Please say thank you.,Thanks!,Thank you!,Thanks a lot!,Thank you very much!,"Thank you, friend!"
"Can I have some juice, please?",Here you are.,"Yes, please.",Please.,Okay.,Yes.
Hello!,"Hello, Benny!",Hello!,Hi!,Hi there!,"Hi, friend!"
How are you?,I am great!,I am good.,I am okay.,I am happy.,I am fine.
What is your name?,I am Ken.,My name is Yuki.,I am Yuki.,I'm Ken.,My name is Ken.
Nice to meet you!,Nice to meet you too!,Thank you!,You too!,Hi!,Nice to meet you!
Say goodbye!,Goodbye!,See you!,Bye-bye!,Good night!,Bye!
What color is this?,I see blue.,This is blue.,It is green.,It is blue.,Blue.
What animal do you see?,A butterfly.,It is a butterfly.,I see a butterfly.,"Look, a butterfly!",A fish.
Do you like milk?,I love milk!,Yummy!,"No, I don't like milk.","Yes, I like milk.",Yes!
What do you want to play with?,Let's play with the ball.,I like the ball.,"A teddy, please.","The ball, please.",I want the ball.
How many do you see?,One toys.,Four.,One.,I see one.,There are one.
Who is this?,It is my mom.,My sister.,This is my mom.,This is Nico.,My mom.
Where are you?,I am home.,I am at the park.,At the park.,In the farm.,I am at school.
What can you do?,I can run.,I can jump.,I can play.,I can eat.,Okay.
Please say thank you.,"Thank you, friend!",Thank you!,Thanks!,Thanks a lot!,Thank you very much!
"Can I have some juice, please?",Here you are.,"Yes, please.",Okay.,Yes.,Please.
Hello!,Hi!,"Hi, friend!","Hello, Benny!",Hi there!,Hello!
How are you?,I am great!,I am happy.,I am good.,I am okay.,I am fine.
What is your name?,I'm Lara.,I am Lara.,My name is Luca.,I am Luca.,My name is Lara.
Nice to meet you!,Nice to meet you!,Hi!,Thank you!,Nice to meet you too!,You too!
Say goodbye!,See you!,Good night!,Goodbye!,Bye!,Bye-bye!
What color is this?,It is purple.,It is green.,This is purple.,Purple.,I see purple.
What animal do you see?,"Look, a butterfly!",A butterfly.,A fish.,I see a butterfly.,It is a butterfly.
Do you like milk?,"No, I don't like milk.","Yes, I like milk.",I love milk!,Yes!,Yummy!
What do you want to play with?,Let's play with the ball.,"A teddy, please.",I like the ball.,"The ball, please.",I want the ball.
How many do you see?,Four.,One.,One toys.,I see one.,There are one.
Who is this?,My sister.,This is my mom.,My mom.,This is Ana.,It is my mom.
Where are you?,I am at school.,At the park.,I am at the park.,I am home.,In the farm.
What can you do?,I can run.,I can eat.,I can jump.,I can play.,Okay.
Please say thank you.,"Thank you, friend!",Thank you very much!,Thanks!,Thanks a lot!,Thank you!
"Can I have some juice, please?",Okay.,Please.,Yes.,Here you are.,"Yes, please."
Hello!,Hello!,Hi!,"Hi, friend!","Hello, Benny!",Hi there!
How are you?,I am fine.,I am good.,I am happy.,I am okay.,I am great!
What is your name?,My name is Sam.,I am Sam.,I am Sara.,My name is Sara.,I'm Sam.
Nice to meet you!,You too!,Thank you!,Hi!,Nice to meet you!,Nice to meet you too!
Say goodbye!,Bye!,Good night!,Bye-bye!,See you!,Goodbye!
What color is this?,White.,It is white.,I see white.,This is white.,It is green.
What animal do you see?,"Look, a butterfly!",It is a butterfly.,A butterfly.,I see a butterfly.,A fish.
Do you like milk?,"No, I don't like milk.","Yes, I like milk.",Yummy!,I love milk!,Yes!
What do you want to play with?,I want the ball.,Let's play with the ball.,"A teddy, please.",I like the ball.,"The ball, please."
How many do you see?,I see one.,Four.,There are one.,One.,One toys.
Who is this?,This is my mom.,My mom.,This is Luca.,It is my mom.,My sister.
Where are you?,I am at the park.,I am at school.,In the farm.,At the park.,I am home.
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.
Please say thank you.,Thanks a lot!,Thank you very much!,Thanks!,"Thank you, friend!",Thank you!
"Can I have some juice, please?",Here you are.,Please.,"Yes, please.",Yes.,Okay.
Hello!,"Hello, Benny!",Hi there!,Hi!,"Hi, friend!",Hello!
How are you?,I am fine.,I am okay.,I am great!,I am good.,I am happy.
What is your name?,I am Ana.,My name is Ana.,I'm Noor.,I am Noor.,My name is Noor.
Nice to meet you!,Hi!,Nice to meet you!,Nice to meet you too!,You too!,Thank you!
Say goodbye!,Good night!,Bye-bye!,Goodbye!,See you!,Bye!
What color is this?,It is green.,I see red.,This is red.,Red.,It is red.
What animal do you see?,It is a turtle.,A turtle.,"Look, a turtle!",A fish.,I see a turtle.
Do you like milk?,Yummy!,"No, I don't like milk.","Yes, I like milk.",I love milk!,Yes!
What do you want to play with?,I want the ball.,"A teddy, please.",Let's play with the ball.,I like the ball.,"The ball, please."
How many do you see?,I see one.,Four.,There are one.,One toys.,One.
Who is this?,This is Lila.,It is my mom.,This is my mom.,My sister.,My mom.
Where are you?,In the farm.,I am at school.,I am home.,At the park.,I am at the park.
What can you do?,I can jump.,I can play.,I can run.,I can eat.,Okay.
Please say thank you.,Thanks a lot!,"Thank you, friend!",Thank you very much!,Thanks!,Thank you!
"Can I have some juice, please?",Please.,Yes.,Okay.,Here you are.,"Yes, please."
Hello!,Hello!,"Hello, Benny!","Hi, friend!",Hi there!,Hi!
How are you?,I am okay.,I am happy.,I am good.,I am great!,I am fine.
What is your name?,My name is Ken.,My name is Rui.,I am Ken.,I am Rui.,I'm Ken.
Nice to meet you!,Nice to meet you!,You too!,Thank you!,Hi!,Nice to meet you too!
Say goodbye!,Bye-bye!,Bye!,Goodbye!,Good night!,See you!
What color is this?,Orange.,This is orange.,It is green.,It is orange.,I see orange.
What animal do you see?,A turtle.,I see a turtle.,"Look, a turtle!",It is a turtle.,A fish.
Do you like milk?,Yes!,"No, I don't like milk.",I love milk!,"Yes, I like milk.",Yummy!
What do you want to play with?,Let's play with the ball.,"A teddy, please.",I like the ball.,"The ball, please.",I want the ball.
How many do you see?,I see one.,One toys.,There are one.,One.,Four.
Who is this?,My sister.,This is Nico.,My mom.,This is my mom.,It is my mom.
Where are you?,I am home.,I am at school.,At the park.,In the farm.,I am at the park.
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.
Please say thank you.,Thanks!,Thank you very much!,Thank you!,Thanks a lot!,"Thank you, friend!"
"Can I have some juice, please?",Here you are.,Okay.,Yes.,Please.,"Yes, please."
Hello!,"Hello, Benny!",Hello!,"Hi, friend!",Hi!,Hi there!
How are you?,I am good.,I am happy.,I am great!,I am okay.,I am fine.
What is your name?,I am Lara.,I'm Lara.,My name is Lara.,I am Hana.,My name is Hana.
Nice to meet you!,Nice to meet you!,Thank you!,You too!,Nice to meet you too!,Hi!
Say goodbye!,See you!,Bye!,Goodbye!,Bye-bye!,Good night!
What color is this?,It is green.,This is black.,Black.,It is black.,I see black.
What animal do you see?,I see a turtle.,A fish.,A turtle.,"Look, a turtle!",It is a turtle.
Do you like milk?,I love milk!,Yummy!,"No, I don't like milk.","Yes, I like milk.",Yes!
What do you want to play with?,I want the ball.,Let's play with the ball.,"The ball, please.",I like the ball.,"A teddy, please."
How many do you see?,One toys.,I see one.,One.,Four.,There are one.
Who is this?,This is Ana.,This is my mom.,My sister.,My mom.,It is my mom.
Where are you?,I am at the park.,I am at school.,In the farm.,I am home.,At the park.
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.
Please say thank you.,Thanks!,Thank you!,Thank you very much!,"Thank you, friend!",Thanks a lot!
"Can I have some juice, please?","Yes, please.",Please.,Here you are.,Okay.,Yes.
Hello!,Hi there!,Hello!,"Hello, Benny!","Hi, friend!",Hi!
How are you?,I am fine.,I am okay.,I am good.,I am great!,I am happy.
What is your name?,My name is Sam.,I'm Sam.,I am Sam.,Okay.,Okay.
Nice to meet you!,Nice to meet you!,Hi!,Nice to meet you too!,Thank you!,You too!
Say goodbye!,Bye-bye!,Goodbye!,Good night!,Bye!,See you!
What color is this?,I see gold.,Gold.,This is gold.,It is gold.,It is green.
What animal do you see?,A snake.,"Look, a snake!",I see a snake.,It is a snake.,A fish.
Do you like milk?,Yummy!,Yes!,I love milk!,"No, I don't like milk.","Yes, I like milk."
What do you want to play with?,Let's play with the ball.,I like the ball.,"The ball, please.",I want the ball.,"A teddy, please."
How many do you see?,One toys.,There are one.,I see one.,One.,Four.
Who is this?,This is Luca.,This is my mom.,My mom.,My sister.,It is my mom.
Where are you?,In the farm.,I am at school.,I am home.,I am at the park.,At the park.
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.
Please say thank you.,Thanks a lot!,Thank you very much!,"Thank you, friend!",Thank you!,Thanks!
"Can I have some juice, please?",Please.,"Yes, please.",Here you are.,Okay.,Yes.
Hello!,"Hi, friend!",Hi there!,Hi!,Hello!,"Hello, Benny!"
How are you?,I am happy.,I am great!,I am okay.,I am fine.,I am good.
What is your name?,I'm Noor.,My name is Theo.,I am Noor.,I am Theo.,My name is Noor.
Nice to meet you!,Nice to meet you!,You too!,Hi!,Thank you!,Nice to meet you too!
Say goodbye!,Bye-bye!,Good night!,Bye!,Goodbye!,See you!
What color is this?,I see green.,Green.,It is green.,This is green.,Okay.
What animal do you see?,"Look, a snake!",I see a snake.,A snake.,It is a snake.,A fish.
Do you like milk?,"Yes, I like milk.",I love milk!,Yummy!,"No, I don't like milk.",Yes!
What do you want to play with?,Let's play with the ball.,I want the ball.,"A teddy, please.","The ball, please.",I like the ball.
How many do you see?,One toys.,Four.,One.,I see one.,There are one.
Who is this?,My mom.,My sister.,This is Lila.,This is my mom.,It is my mom.
Where are you?,I am at the park.,I am at school.,I am home.,At the park.,In the farm.
What can you do?,I can run.,I can play.,I can eat.,I can jump.,Okay.
Please say thank you.,"Thank you, friend!",Thank you!,Thank you very much!,Thanks!,Thanks a lot!
"Can I have some juice, please?",Please.,Yes.,Here you are.,"Yes, please.",Okay.
Hello!,"Hi, friend!",Hi there!,Hello!,"Hello, Benny!",Hi!
How are you?,I am fine.,I am happy.,I am okay.,I am good.,I am great!
What is your name?,I am Lara.,I am Ken.,My name is Lara.,My name is Ken.,I'm Ken.
Nice to meet you!,Nice to meet you!,Thank you!,You too!,Hi!,Nice to meet you too!
Say goodbye!,Bye-bye!,Goodbye!,See you!,Bye!,Good night!
What color is this?,It is green.,It is brown.,I see brown.,This is brown.,Brown.
What animal do you see?,A fish.,I see a snake.,A snake.,It is a snake.,"Look, a snake!"
Do you like milk?,"Yes, I like milk.","No, I don't like milk.",Yes!,Yummy!,I love milk!
What do you want to play with?,I like the ball.,I want the ball.,"A teddy, please.","The ball, please.",Let's play with the ball.
How many do you see?,One toys.,Four.,There are one.,One.,I see one.
Who is this?,My sister.,My mom.,It is my mom.,This is Nico.,This is my mom.
Where are you?,I am home.,At the park.,In the farm.,I am at the park.,I am at school.
What can you do?,I can jump.,I can eat.,I can run.,I can play.,Okay.
Please say thank you.,Thank you very much!,Thank you!,Thanks a lot!,"Thank you, friend!",Thanks!
"Can I have some juice, please?",Yes.,Okay.,"Yes, please.",Please.,Here you are.
Hello!,"Hello, Benny!",Hi!,"Hi, friend!",Hello!,Hi there!
How are you?,I am fine.,I am okay.,I am good.,I am great!,I am happy.
What is your name?,My name is Mia.,I am Lara.,I'm Lara.,My name is Lara.,I am Mia.
Nice to meet you!,Hi!,You too!,Nice to meet you!,Nice to meet you too!,Thank you!
Say goodbye!,Bye!,Good night!,Goodbye!,Bye-bye!,See you!
What color is this?,Gray.,This is gray.,It is green.,It is gray.,I see gray.
What animal do you see?,It is a snake.,I see a snake.,A fish.,"Look, a snake!",A snake.
Do you like milk?,Yummy!,"Yes, I like milk.",I love milk!,"No, I don't like milk.",Yes!
What do you want to play with?,I want the ball.,I like the ball.,"The ball, please.",Let's play with the ball.,"A teddy, please."
How many do you see?,Four.,I see one.,There are one.,One toys.,One.
Who is this?,This is Ana.,My sister.,It is my mom.,This is my mom.,My mom.
Where are you?,I am at school.,I am home.,I am at the park.,In the farm.,At the park.
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.
Please say thank you.,Thank you very much!,Thanks a lot!,"Thank you, friend!",Thank you!,Thanks!
"Can I have some juice, please?",Yes.,Okay.,Here you are.,"Yes, please.",Please.
Hello!,Hi there!,"Hello, Benny!",Hello!,Hi!,"Hi, friend!"
How are you?,I am great!,I am good.,I am okay.,I am fine.,I am happy.
What is your name?,I'm Sam.,I am Sam.,My name is Lila.,My name is Sam.,I am Lila.
Nice to meet you!,Nice to meet you too!,Hi!,Thank you!,Nice to meet you!,You too!
Say goodbye!,See you!,Bye-bye!,Good night!,Bye!,Goodbye!
What color is this?,It is yellow.,This is yellow.,It is green.,Yellow.,I see yellow.
What animal do you see?,A giraffe.,"Look, a giraffe!",I see a giraffe.,It is a giraffe.,A fish.
Do you like milk?,"Yes, I like milk.",Yes!,I love milk!,"No, I don't like milk.",Yummy!
What do you want to play with?,"The ball, please.",I like the ball.,"A teddy, please.",I want the ball.,Let's play with the ball.
How many do you see?,I see one.,One toys.,There are one.,One.,Four.
Who is this?,My mom.,My sister.,This is my mom.,This is Luca.,It is my mom.
Where are you?,I am at the park.,In the farm.,At the park.,I am home.,I am at school.
What can you do?,I can play.,I can run.,I can eat.,I can jump.,Okay.
Please say thank you.,Thank you very much!,Thanks!,"Thank you, friend!",Thank you!,Thanks a lot!
"Can I have some juice, please?",Here you are.,Okay.,Yes.,"Yes, please.",Please.
Hello!,Hi there!,Hi!,Hello!,"Hello, Benny!","Hi, friend!"
How are you?,I am fine.,I am okay.,I am good.,I am great!,I am happy.
What is your name?,I'm Noor.,My name is Yuki.,My name is Noor.,I am Noor.,I am Yuki.
Nice to meet you!,You too!,Thank you!,Nice to meet you!,Nice to meet you too!,Hi!
Say goodbye!,Goodbye!,See you!,Good night!,Bye-bye!,Bye!
What color is this?,This is purple.,Purple.,It is purple.,I see purple.,It is green.
What animal do you see?,A giraffe.,It is a giraffe.,"Look, a giraffe!",A fish.,I see a giraffe.
Do you like milk?,I love milk!,"Yes, I like milk.",Yummy!,Yes!,"No, I don't like milk."
What do you want to play with?,"The ball, please.",Let's play with the ball.,I like the ball.,"A teddy, please.",I want the ball.
How many do you see?,There are one.,I see one.,Four.,One toys.,One.
Who is this?,It is my mom.,My mom.,This is my mom.,My sister.,This is Lila.
Where are you?,I am at school.,In the farm.,I am home.,I am at the park.,At the park.
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.
Please say thank you.,Thank you very much!,Thanks!,"Thank you, friend!",Thanks a lot!,Thank you!
"Can I have some juice, please?",Here you are.,Please.,Yes.,"Yes, please.",Okay.
Hello!,Hi there!,"Hello, Benny!",Hello!,"Hi, friend!",Hi!
How are you?,I am great!,I am fine.,I am okay.,I am good.,I am happy.
What is your name?,My name is Ken.,I am Luca.,I'm Ken.,I am Ken.,My name is Luca.
Nice to meet you!,You too!,Thank you!,Nice to meet you!,Nice to meet you too!,Hi!
Say goodbye!,Goodbye!,Good night!,Bye-bye!,Bye!,See you!
What color is this?,It is white.,It is green.,This is white.,I see white.,White.
What animal do you see?,I see a giraffe.,"Look, a giraffe!",A fish.,A giraffe.,It is a giraffe.
Do you like milk?,Yes!,Yummy!,I love milk!,"Yes, I like milk.","No, I don't like milk."
What do you want to play with?,"The ball, please.","A teddy, please.",I want the ball.,I like the ball.,Let's play with the ball.
How many do you see?,One toys.,I see one.,There are one.,One.,Four.
Who is this?,My mom.,This is Nico.,My sister.,This is my mom.,It is my mom.
Where are you?,I am home.,I am at the park.,In the farm.,I am at school.,At the park.
What can you do?,I can play.,I can jump.,I can run.,I can eat.,Okay.
Please say thank you.,Thanks!,"Thank you, friend!",Thanks a lot!,Thank you very much!,Thank you!
"Can I have some juice, please?",Please.,Here you are.,"Yes, please.",Yes.,Okay.
Hello!,"Hello, Benny!","Hi, friend!",Hello!,Hi!,Hi there!
How are you?,I am good.,I am fine.,I am okay.,I am happy.,I am great!
What is your name?,I am Lara.,My name is Lara.,I am Sara.,I'm Lara.,My name is Sara.
Nice to meet you!,Nice to meet you too!,You too!,Nice to meet you!,Thank you!,Hi!
Say goodbye!,See you!,Goodbye!,Bye-bye!,Good night!,Bye!
What color is this?,I see blue.,Blue.,This is blue.,It is green.,It is blue.
What animal do you see?,A zebra.,"Look, a zebra!",A fish.,It is a zebra.,I see a zebra.
Do you like milk?,Yes!,Yummy!,"Yes, I like milk.","No, I don't like milk.",I love milk!
What do you want to play with?,I want the ball.,"The ball, please.",I like the ball.,"A teddy, please.",Let's play with the ball.
How many do you see?,One.,One toys.,There are one.,I see one.,Four.
Who is this?,My sister.,It is my mom.,This is my mom.,My mom.,This is Ana.
Where are you?,I am at school.,In the farm.,At the park.,I am home.,I am at the park.
What can you do?,I can run.,I can jump.,I can play.,I can eat.,Okay.
Please say thank you.,Thank you very much!,"Thank you, friend!",Thanks a lot!,Thanks!,Thank you!
"Can I have some juice, please?","Yes, please.",Yes.,Okay.,Please.,Here you are.
Hello!,"Hello, Benny!",Hello!,"Hi, friend!",Hi there!,Hi!
How are you?,I am happy.,I am fine.,I am good.,I am okay.,I am great!
What is your name?,My name is Sam.,I am Sam.,I am Ben.,My name is Ben.,I'm Sam.
Nice to meet you!,Thank you!,You too!,Nice to meet you too!,Nice to meet you!,Hi!
Say goodbye!,Bye-bye!,Bye!,See you!,Goodbye!,Good night!
What color is this?,It is orange.,It is green.,I see orange.,This is orange.,Orange.
What animal do you see?,It is a zebra.,A zebra.,"Look, a zebra!",I see a zebra.,A fish.
Do you like milk?,"Yes, I like milk.",Yummy!,Yes!,I love milk!,"No, I don't like milk."
