bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
"Which is bigger, a dog or a mouse?",I think the dog is bigger.,A dog is bigger.,The dog.,The dog is bigger than a mouse.,A mouse is smaller.
How do you feel today?,I feel great.,I feel happy.,"A little tired, but okay.",I feel fine.,I am happy today.
What are you going to do this weekend?,I am going to study.,I will play football.,I am going to visit the park.,I will stay home and rest.,I am going to see my friends.
Would you like some water?,"Yes, please.","Yes, I love water.","Just a little, please.","No, thank you.",Maybe later.
Where is the library?,Across from the supermarket.,I can show you.,It is next to the school.,Go straight and turn left.,It is near the park.
Eli lost a bag. What can you say?,Let us ask the teacher.,Where did you last see it?,Was it in the classroom?,I can help you look.,Do not worry. We will find it.
What do you think about this story?,I think it is nice.,I think it is useful.,It looks interesting.,"It is okay, but not my favorite.",I like it a lot.
What time do you usually wake up?,Usually at half past six.,Around 7:00 in the morning.,I get up early.,I wake up at eight on weekends.,I wake up at seven.
Tell me about yourself.,I live in Tokyo.,My name is Leo. I am 9 years old.,Hi! I'm Rui. Nice to meet you.,"I am Leo, and I like football.",I am a student. I like math.
What did you do yesterday?,I went to the park.,I helped my mom.,I played with my friends.,I watched a movie.,I studied math.
What was your favorite class today?,I enjoyed geography.,PE was my favorite.,My favorite class was math.,Art was fun.,I liked math today.
Why do you like football?,Because it helps me relax.,Because I feel happy.,Because it is fun.,Because I am good at it.,Because I can do it with friends.
"Which is bigger, a dog or a mouse?",A dog is bigger.,The dog.,A mouse is smaller.,The dog is bigger than a mouse.,I think the dog is bigger.
How do you feel today?,I feel fine.,I feel great.,"A little tired, but okay.",I am happy today.,I feel happy.
What are you going to do this weekend?,I am going to visit the park.,I am going to study.,I am going to see my friends.,I will play football.,I will stay home and rest.
Would you like some water?,"Just a little, please.","No, thank you.","Yes, please.",Maybe later.,"Yes, I love water."
Where is the library?,Across from the supermarket.,I can show you.,Go straight and turn left.,It is near the park.,It is next to the school.
Theo lost a bag. What can you say?,Was it in the classroom?,Let us ask the teacher.,I can help you look.,Where did you last see it?,Do not worry. We will find it.
What do you think about this story?,"It is okay, but not my favorite.",It looks interesting.,I think it is useful.,I like it a lot.,I think it is nice.
What time do you usually wake up?,I get up early.,I wake up at seven.,I wake up at eight on weekends.,Usually at half past six.,Around 7:00 in the morning.
Tell me about yourself.,"I am Yuki, and I like football.",My name is Yuki. I am 9 years old.,I live in Tokyo.,I am a student. I like math.,Hi! I'm Theo. Nice to meet you.
What did you do yesterday?,I helped my mom.,I went to the park.,I played with my friends.,I watched a movie.,I studied math.
What was your favorite class today?,Art was fun.,I liked math today.,My favorite class was math.,PE was my favorite.,I enjoyed geography.
Why do you like football?,Because I can do it with friends.,Because it is fun.,Because I am good at it.,Because it helps me relax.,Because I feel happy.
"Which is bigger, a bird or a mouse?",The bird.,I think the bird is bigger.,A mouse is smaller.,The bird is bigger than a mouse.,A bird is bigger.
How do you feel today?,I am happy today.,I feel great.,I feel happy.,"A little tired, but okay.",I feel fine.
What are you going to do this weekend?,I am going to study.,I am going to visit the park.,I will play football.,I will stay home and rest.,I am going to see my friends.
Would you like some water?,"Just a little, please.","No, thank you.","Yes, I love water.","Yes, please.",Maybe later.
Where is the library?,Across from the supermarket.,Go straight and turn left.,I can show you.,It is near the park.,It is next to the school.
Luca lost a bag. What can you say?,I can help you look.,Let us ask the teacher.,Do not worry. We will find it.,Where did you last see it?,Was it in the classroom?
What do you think about this story?,It looks interesting.,I think it is useful.,"It is okay, but not my favorite.",I like it a lot.,I think it is nice.
What time do you usually wake up?,Usually at half past six.,I wake up at seven.,I wake up at eight on weekends.,I get up early.,Around 7:00 in the morning.
Tell me about yourself.,Hi! I'm Ken. Nice to meet you.,I live in Tokyo.,"I am Hana, and I like football.",My name is Hana. I am 9 years old.,I am a student. I like math.
What did you do yesterday?,I went to the park.,I played with my friends.,I watched a movie.,I helped my mom.,I studied math.
What was your favorite class today?,My favorite class was math.,I liked math today.,Art was fun.,PE was my favorite.,I enjoyed geography.
Why do you like football?,Because it is fun.,Because I feel happy.,Because it helps me relax.,Because I am good at it.,Because I can do it with friends.
"Which is bigger, a bird or a mouse?",A mouse is smaller.,The bird.,A bird is bigger.,The bird is bigger than a mouse.,I think the bird is bigger.
How do you feel today?,I feel happy.,I am happy today.,I feel great.,I feel fine.,"A little tired, but okay."
What are you going to do this weekend?,I will play football.,I am going to visit the park.,I am going to see my friends.,I will stay home and rest.,I am going to study.
Would you like some water?,"Yes, I love water.","Just a little, please.",Maybe later.,"No, thank you.","Yes, please."
Where is the library?,I can show you.,It is next to the school.,Across from the supermarket.,Go straight and turn left.,It is near the park.
Sam lost a bag. What can you say?,Let us ask the teacher.,Where did you last see it?,Was it in the classroom?,I can help you look.,Do not worry. We will find it.
What do you think about this story?,It looks interesting.,I think it is useful.,"It is okay, but not my favorite.",I like it a lot.,I think it is nice.
What time do you usually wake up?,I wake up at eight on weekends.,I wake up at seven.,I get up early.,Usually at half past six.,Around 7:00 in the morning.
Tell me about yourself.,Hi! I'm Eli. Nice to meet you.,I am a student. I like math.,I live in Tokyo.,My name is Lila. I am 9 years old.,"I am Lila, and I like football."
What did you do yesterday?,I went to the park.,I helped my mom.,I studied math.,I played with my friends.,I watched a movie.
What was your favorite class today?,PE was my favorite.,I liked math today.,I enjoyed geography.,Art was fun.,My favorite class was math.
Why do you like football?,Because it helps me relax.,Because it is fun.,Because I am good at it.,Because I feel happy.,Because I can do it with friends.
"Which is bigger, a bird or a mouse?",I think the bird is bigger.,A bird is bigger.,A mouse is smaller.,The bird.,The bird is bigger than a mouse.
How do you feel today?,I feel great.,I am happy today.,I feel fine.,"A little tired, but okay.",I feel happy.
What are you going to do this weekend?,I am going to study.,I am going to visit the park.,I will stay home and rest.,I am going to see my friends.,I will play football.
Would you like some water?,"Just a little, please.","Yes, please.","Yes, I love water.","No, thank you.",Maybe later.
Where is the library?,It is next to the school.,Go straight and turn left.,Across from the supermarket.,I can show you.,It is near the park.
Omar lost a bag. What can you say?,Do not worry. We will find it.,I can help you look.,Was it in the classroom?,Where did you last see it?,Let us ask the teacher.
What do you think about this story?,I think it is useful.,"It is okay, but not my favorite.",I think it is nice.,It looks interesting.,I like it a lot.
What time do you usually wake up?,I wake up at eight on weekends.,Usually at half past six.,I get up early.,Around 7:00 in the morning.,I wake up at seven.
Tell me about yourself.,My name is Noor. I am 9 years old.,I am a student. I like math.,Hi! I'm Nico. Nice to meet you.,"I am Noor, and I like football.",I live in Tokyo.
What did you do yesterday?,I studied math.,I went to the park.,I watched a movie.,I helped my mom.,I played with my friends.
What was your favorite class today?,My favorite class was math.,PE was my favorite.,I liked math today.,Art was fun.,I enjoyed geography.
Why do you like football?,Because it helps me relax.,Because I can do it with friends.,Because I am good at it.,Because I feel happy.,Because it is fun.
"Which is bigger, a bird or a mouse?",The bird.,The bird is bigger than a mouse.,I think the bird is bigger.,A bird is bigger.,A mouse is smaller.
How do you feel today?,I feel great.,"A little tired, but okay.",I am happy today.,I feel fine.,I feel happy.
What are you going to do this weekend?,I will play football.,I am going to study.,I am going to visit the park.,I will stay home and rest.,I am going to see my friends.
Would you like some water?,Maybe later.,"No, thank you.","Just a little, please.","Yes, please.","Yes, I love water."
Where is the library?,Go straight and turn left.,Across from the supermarket.,I can show you.,It is near the park.,It is next to the school.
Eli lost a bag. What can you say?,Let us ask the teacher.,Where did you last see it?,I can help you look.,Do not worry. We will find it.,Was it in the classroom?
What do you think about this story?,It looks interesting.,I think it is useful.,I think it is nice.,"It is okay, but not my favorite.",I like it a lot.
What time do you usually wake up?,Around 7:00 in the morning.,Usually at half past six.,I wake up at eight on weekends.,I wake up at seven.,I get up early.
Tell me about yourself.,"I am Leo, and I like football.",I live in Tokyo.,I am a student. I like math.,Hi! I'm Lara. Nice to meet you.,My name is Leo. I am 9 years old.
What did you do yesterday?,I played with my friends.,I helped my mom.,I studied math.,I went to the park.,I watched a movie.
What was your favorite class today?,I enjoyed geography.,My favorite class was math.,I liked math today.,Art was fun.,PE was my favorite.
Why do you like football?,Because it helps me relax.,Because I am good at it.,Because I feel happy.,Because it is fun.,Because I can do it with friends.
"Which is bigger, a fish or a mouse?",A mouse is smaller.,A fish is bigger.,I think the fish is bigger.,The fish.,The fish is bigger than a mouse.
How do you feel today?,I feel fine.,I feel great.,I am happy today.,"A little tired, but okay.",I feel happy.
What are you going to do this weekend?,I am going to study.,I will play football.,I am going to see my friends.,I will stay home and rest.,I am going to visit the park.
Would you like some water?,"No, thank you.","Yes, please.","Yes, I love water.",Maybe later.,"Just a little, please."
Where is the library?,It is near the park.,Go straight and turn left.,It is next to the school.,I can show you.,Across from the supermarket.
Theo lost a bag. What can you say?,Do not worry. We will find it.,Let us ask the teacher.,I can help you look.,Was it in the classroom?,Where did you last see it?
What do you think about this story?,I think it is nice.,I think it is useful.,I like it a lot.,It looks interesting.,"It is okay, but not my favorite."
What time do you usually wake up?,I get up early.,I wake up at eight on weekends.,Around 7:00 in the morning.,Usually at half past six.,I wake up at seven.
Tell me about yourself.,I live in Tokyo.,I am a student. I like math.,My name is Yuki. I am 9 years old.,Hi! I'm Yuki. Nice to meet you.,"I am Yuki, and I like football."
What did you do yesterday?,I helped my mom.,I played with my friends.,I studied math.,I watched a movie.,I went to the park.
What was your favorite class today?,My favorite class was math.,PE was my favorite.,I enjoyed geography.,I liked math today.,Art was fun.
Why do you like football?,Because I am good at it.,Because it helps me relax.,Because I feel happy.,Because I can do it with friends.,Because it is fun.
"Which is bigger, a fish or a mouse?",A mouse is smaller.,I think the fish is bigger.,The fish.,The fish is bigger than a mouse.,A fish is bigger.
How do you feel today?,"A little tired, but okay.",I feel great.,I feel fine.,I feel happy.,I am happy today.
What are you going to do this weekend?,I am going to study.,I will play football.,I am going to see my friends.,I am going to visit the park.,I will stay home and rest.
Would you like some water?,"Yes, I love water.","Just a little, please.","Yes, please.","No, thank you.",Maybe later.
Where is the library?,I can show you.,Across from the supermarket.,It is near the park.,Go straight and turn left.,It is next to the school.
Luca lost a bag. What can you say?,I can help you look.,Do not worry. We will find it.,Let us ask the teacher.,Was it in the classroom?,Where did you last see it?
What do you think about this story?,"It is okay, but not my favorite.",It looks interesting.,I think it is nice.,I think it is useful.,I like it a lot.
What time do you usually wake up?,Around 7:00 in the morning.,I wake up at seven.,I get up early.,I wake up at eight on weekends.,Usually at half past six.
Tell me about yourself.,My name is Hana. I am 9 years old.,I live in Tokyo.,"I am Hana, and I like football.",I am a student. I like math.,Hi! I'm Ana. Nice to meet you.
What did you do yesterday?,I went to the park.,I studied math.,I helped my mom.,I played with my friends.,I watched a movie.
What was your favorite class today?,Art was fun.,I enjoyed geography.,I liked math today.,My favorite class was math.,PE was my favorite.
Why do you like football?,Because I feel happy.,Because it is fun.,Because I can do it with friends.,Because it helps me relax.,Because I am good at it.
"Which is bigger, a fish or a mouse?",The fish is bigger than a mouse.,The fish.,A mouse is smaller.,I think the fish is bigger.,A fish is bigger.
How do you feel today?,"A little tired, but okay.",I feel happy.,I feel fine.,I feel great.,I am happy today.
What are you going to do this weekend?,I am going to study.,I will stay home and rest.,I will play football.,I am going to see my friends.,I am going to visit the park.
Would you like some water?,"Yes, please.","Just a little, please.",Maybe later.,"Yes, I love water.","No, thank you."
Where is the library?,Across from the supermarket.,Go straight and turn left.,I can show you.,It is next to the school.,It is near the park.
Sam lost a bag. What can you say?,Do not worry. We will find it.,Was it in the classroom?,Where did you last see it?,I can help you look.,Let us ask the teacher.
What do you think about this story?,"It is okay, but not my favorite.",I like it a lot.,I think it is useful.,I think it is nice.,It looks interesting.
What time do you usually wake up?,I wake up at seven.,Around 7:00 in the morning.,Usually at half past six.,I wake up at eight on weekends.,I get up early.
Tell me about yourself.,"I am Lila, and I like football.",I am a student. I like math.,I live in Tokyo.,My name is Lila. I am 9 years old.,Hi! I'm Leo. Nice to meet you.
What did you do yesterday?,I watched a movie.,I studied math.,I helped my mom.,I went to the park.,I played with my friends.
What was your favorite class today?,My favorite class was math.,PE was my favorite.,Art was fun.,I enjoyed geography.,I liked math today.
Why do you like football?,Because I feel happy.,Because it is fun.,Because I can do it with friends.,Because I am good at it.,Because it helps me relax.
"Which is bigger, a fish or a mouse?",I think the fish is bigger.,A mouse is smaller.,A fish is bigger.,The fish.,The fish is bigger than a mouse.
How do you feel today?,I am happy today.,I feel happy.,I feel great.,I feel fine.,"A little tired, but okay."
What are you going to do this weekend?,I am going to study.,I am going to see my friends.,I will play football.,I will stay home and rest.,I am going to visit the park.
Would you like some water?,"Yes, please.","No, thank you.",Maybe later.,"Yes, I love water.","Just a little, please."
Where is the library?,It is next to the school.,It is near the park.,I can show you.,Across from the supermarket.,Go straight and turn left.
Omar lost a bag. What can you say?,Where did you last see it?,I can help you look.,Let us ask the teacher.,Do not worry. We will find it.,Was it in the classroom?
What do you think about this story?,I think it is useful.,It looks interesting.,I think it is nice.,"It is okay, but not my favorite.",I like it a lot.
What time do you usually wake up?,I wake up at eight on weekends.,I wake up at seven.,I get up early.,Usually at half past six.,Around 7:00 in the morning.
Tell me about yourself.,My name is Noor. I am 9 years old.,I live in Tokyo.,Hi! I'm Zoe. Nice to meet you.,"I am Noor, and I like football.",I am a student. I like math.
What did you do yesterday?,I went to the park.,I helped my mom.,I watched a movie.,I played with my friends.,I studied math.
What was your favorite class today?,I enjoyed geography.,I liked math today.,My favorite class was math.,PE was my favorite.,Art was fun.
Why do you like football?,Because I am good at it.,Because I feel happy.,Because it is fun.,Because it helps me relax.,Because I can do it with friends.
"Which is bigger, a fish or a mouse?",The fish.,The fish is bigger than a mouse.,A mouse is smaller.,I think the fish is bigger.,A fish is bigger.
How do you feel today?,"A little tired, but okay.",I feel happy.,I am happy today.,I feel fine.,I feel great.
What are you going to do this weekend?,I will play football.,I am going to visit the park.,I will stay home and rest.,I am going to see my friends.,I am going to study.
Would you like some water?,"No, thank you.","Yes, please.","Just a little, please.","Yes, I love water.",Maybe later.
Where is the library?,Across from the supermarket.,I can show you.,Go straight and turn left.,It is near the park.,It is next to the school.
Eli lost a bag. What can you say?,Do not worry. We will find it.,Where did you last see it?,I can help you look.,Was it in the classroom?,Let us ask the teacher.
What do you think about this story?,I think it is nice.,I think it is useful.,"It is okay, but not my favorite.",It looks interesting.,I like it a lot.
What time do you usually wake up?,I wake up at seven.,I wake up at eight on weekends.,I get up early.,Usually at half past six.,Around 7:00 in the morning.
Tell me about yourself.,I am a student. I like math.,I live in Tokyo.,Hi! I'm Luca. Nice to meet you.,"I am Leo, and I like football.",My name is Leo. I am 9 years old.
What did you do yesterday?,I went to the park.,I played with my friends.,I studied math.,I watched a movie.,I helped my mom.
What was your favorite class today?,My favorite class was math.,Art was fun.,PE was my favorite.,I liked math today.,I enjoyed geography.
Why do you like football?,Because it helps me relax.,Because it is fun.,Because I am good at it.,Because I can do it with friends.,Because I feel happy.
"Which is bigger, a duck or a mouse?",The duck is bigger than a mouse.,I think the duck is bigger.,The duck.,A mouse is smaller.,A duck is bigger.
How do you feel today?,I feel happy.,"A little tired, but okay.",I feel fine.,I am happy today.,I feel great.
What are you going to do this weekend?,I am going to visit the park.,I will stay home and rest.,I am going to study.,I am going to see my friends.,I will play football.
Would you like some water?,"Yes, please.","No, thank you.",Maybe later.,"Yes, I love water.","Just a little, please."
Where is the library?,Across from the supermarket.,I can show you.,It is next to the school.,It is near the park.,Go straight and turn left.
Theo lost a bag. What can you say?,Do not worry. We will find it.,I can help you look.,Was it in the classroom?,Let us ask the teacher.,Where did you last see it?
What do you think about this story?,"It is okay, but not my favorite.",I think it is useful.,I like it a lot.,I think it is nice.,It looks interesting.
What time do you usually wake up?,I wake up at seven.,I wake up at eight on weekends.,Usually at half past six.,I get up early.,Around 7:00 in the morning.
Tell me about yourself.,Hi! I'm Rui. Nice to meet you.,I live in Tokyo.,"I am Yuki, and I like football.",My name is Yuki. I am 9 years old.,I am a student. I like math.
What did you do yesterday?,I played with my friends.,I helped my mom.,I went to the park.,I watched a movie.,I studied math.
What was your favorite class today?,My favorite class was math.,I enjoyed geography.,Art was fun.,PE was my favorite.,I liked math today.
Why do you like football?,Because it helps me relax.,Because I am good at it.,Because I feel happy.,Because it is fun.,Because I can do it with friends.
"Which is bigger, a duck or a mouse?",The duck.,I think the duck is bigger.,The duck is bigger than a mouse.,A duck is bigger.,A mouse is smaller.
How do you feel today?,"A little tired, but okay.",I feel great.,I feel fine.,I am happy today.,I feel happy.
What are you going to do this weekend?,I am going to study.,I am going to see my friends.,I will play football.,I am going to visit the park.,I will stay home and rest.
Would you like some water?,"Just a little, please.","Yes, please.","Yes, I love water.",Maybe later.,"No, thank you."
Where is the library?,Across from the supermarket.,I can show you.,It is near the park.,Go straight and turn left.,It is next to the school.
Luca lost a bag. What can you say?,Was it in the classroom?,Do not worry. We will find it.,Let us ask the teacher.,Where did you last see it?,I can help you look.
What do you think about this story?,I think it is useful.,I think it is nice.,"It is okay, but not my favorite.",I like it a lot.,It looks interesting.
What time do you usually wake up?,I wake up at seven.,I wake up at eight on weekends.,I get up early.,Usually at half past six.,Around 7:00 in the morning.
Tell me about yourself.,Hi! I'm Theo. Nice to meet you.,"I am Hana, and I like football.",I live in Tokyo.,I am a student. I like math.,My name is Hana. I am 9 years old.
What did you do yesterday?,I went to the park.,I studied math.,I helped my mom.,I played with my friends.,I watched a movie.
What was your favorite class today?,I liked math today.,I enjoyed geography.,Art was fun.,My favorite class was math.,PE was my favorite.
Why do you like football?,Because I can do it with friends.,Because I feel happy.,Because it helps me relax.,Because it is fun.,Because I am good at it.
"Which is bigger, a duck or a mouse?",A mouse is smaller.,A duck is bigger.,The duck is bigger than a mouse.,The duck.,I think the duck is bigger.
How do you feel today?,I feel fine.,I feel great.,"A little tired, but okay.",I feel happy.,I am happy today.
What are you going to do this weekend?,I will play football.,I am going to see my friends.,I will stay home and rest.,I am going to study.,I am going to visit the park.
Would you like some water?,"Yes, I love water.",Maybe later.,"Just a little, please.","Yes, please.","No, thank you."
Where is the library?,It is near the park.,Across from the supermarket.,It is next to the school.,I can show you.,Go straight and turn left.
Sam lost a bag. What can you say?,Where did you last see it?,Was it in the classroom?,Do not worry. We will find it.,I can help you look.,Let us ask the teacher.
What do you think about this story?,I like it a lot.,I think it is useful.,It looks interesting.,I think it is nice.,"It is okay, but not my favorite."
What time do you usually wake up?,I get up early.,Around 7:00 in the morning.,I wake up at eight on weekends.,I wake up at seven.,Usually at half past six.
Tell me about yourself.,I am a student. I like math.,Hi! I'm Ken. Nice to meet you.,I live in Tokyo.,My name is Lila. I am 9 years old.,"I am Lila, and I like football."
What did you do yesterday?,I studied math.,I went to the park.,I watched a movie.,I played with my friends.,I helped my mom.
What was your favorite class today?,My favorite class was math.,PE was my favorite.,I liked math today.,I enjoyed geography.,Art was fun.
Why do you like football?,Because I feel happy.,Because it helps me relax.,Because it is fun.,Because I can do it with friends.,Because I am good at it.
"Which is bigger, a duck or a mouse?",A duck is bigger.,I think the duck is bigger.,The duck.,The duck is bigger than a mouse.,A mouse is smaller.
How do you feel today?,"A little tired, but okay.",I feel great.,I feel happy.,I am happy today.,I feel fine.
What are you going to do this weekend?,I am going to see my friends.,I will stay home and rest.,I will play football.,I am going to study.,I am going to visit the park.
Would you like some water?,"Yes, I love water.","Just a little, please.","No, thank you.","Yes, please.",Maybe later.
Where is the library?,I can show you.,It is near the park.,It is next to the school.,Across from the supermarket.,Go straight and turn left.
Omar lost a bag. What can you say?,Let us ask the teacher.,Was it in the classroom?,Do not worry. We will find it.,I can help you look.,Where did you last see it?
What do you think about this story?,I think it is nice.,"It is okay, but not my favorite.",I like it a lot.,It looks interesting.,I think it is useful.
What time do you usually wake up?,I wake up at seven.,I wake up at eight on weekends.,I get up early.,Around 7:00 in the morning.,Usually at half past six.
Tell me about yourself.,I live in Tokyo.,I am a student. I like math.,My name is Noor. I am 9 years old.,"I am Noor, and I like football.",Hi! I'm Eli. Nice to meet you.
What did you do yesterday?,I went to the park.,I watched a movie.,I studied math.,I helped my mom.,I played with my friends.
What was your favorite class today?,Art was fun.,I liked math today.,My favorite class was math.,PE was my favorite.,I enjoyed geography.
Why do you like football?,Because I feel happy.,Because I am good at it.,Because it helps me relax.,Because it is fun.,Because I can do it with friends.
"Which is bigger, a frog or a mouse?",The frog is bigger than a mouse.,A frog is bigger.,The frog.,A mouse is smaller.,I think the frog is bigger.
How do you feel today?,I feel fine.,I feel great.,"A little tired, but okay.",I am happy today.,I feel happy.
What are you going to do this weekend?,I will stay home and rest.,I am going to visit the park.,I will play football.,I am going to study.,I am going to see my friends.
Would you like some water?,"No, thank you.","Just a little, please.","Yes, please.",Maybe later.,"Yes, I love water."
Where is the library?,It is next to the school.,Go straight and turn left.,I can show you.,It is near the park.,Across from the supermarket.
Eli lost a bag. What can you say?,Where did you last see it?,Was it in the classroom?,Let us ask the teacher.,Do not worry. We will find it.,I can help you look.
What do you think about this story?,I think it is nice.,It looks interesting.,I think it is useful.,I like it a lot.,"It is okay, but not my favorite."
What time do you usually wake up?,I wake up at seven.,Usually at half past six.,I get up early.,Around 7:00 in the morning.,I wake up at eight on weekends.
Tell me about yourself.,"I am Leo, and I like football.",My name is Leo. I am 9 years old.,I live in Tokyo.,Hi! I'm Hana. Nice to meet you.,I am a student. I like math.
What did you do yesterday?,I studied math.,I watched a movie.,I went to the park.,I played with my friends.,I helped my mom.
What was your favorite class today?,Art was fun.,PE was my favorite.,I enjoyed geography.,My favorite class was math.,I liked math today.
Why do you like football?,Because it helps me relax.,Because I feel happy.,Because I can do it with friends.,Because I am good at it.,Because it is fun.
"Which is bigger, a frog or a mouse?",A mouse is smaller.,I think the frog is bigger.,The frog.,A frog is bigger.,The frog is bigger than a mouse.
How do you feel today?,I feel happy.,I feel great.,I am happy today.,I feel fine.,"A little tired, but okay."
What are you going to do this weekend?,I will stay home and rest.,I am going to visit the park.,I will play football.,I am going to study.,I am going to see my friends.
Would you like some water?,Maybe later.,"No, thank you.","Just a little, please.","Yes, I love water.","Yes, please."
Where is the library?,It is next to the school.,Go straight and turn left.,I can show you.,Across from the supermarket.,It is near the park.
Theo lost a bag. What can you say?,Was it in the classroom?,Where did you last see it?,I can help you look.,Let us ask the teacher.,Do not worry. We will find it.
What do you think about this story?,It looks interesting.,I think it is useful.,I like it a lot.,I think it is nice.,"It is okay, but not my favorite."
What time do you usually wake up?,I wake up at eight on weekends.,I get up early.,Around 7:00 in the morning.,I wake up at seven.,Usually at half past six.
Tell me about yourself.,I am a student. I like math.,Hi! I'm Lara. Nice to meet you.,"I am Yuki, and I like football.",I live in Tokyo.,My name is Yuki. I am 9 years old.
What did you do yesterday?,I studied math.,I helped my mom.,I played with my friends.,I watched a movie.,I went to the park.
What was your favorite class today?,I liked math today.,Art was fun.,I enjoyed geography.,PE was my favorite.,My favorite class was math.
Why do you like football?,Because I am good at it.,Because it helps me relax.,Because I feel happy.,Because it is fun.,Because I can do it with friends.
"Which is bigger, a frog or a mouse?",I think the frog is bigger.,The frog is bigger than a mouse.,The frog.,A frog is bigger.,A mouse is smaller.
How do you feel today?,"A little tired, but okay.",I am happy today.,I feel great.,I feel fine.,I feel happy.
What are you going to do this weekend?,I will play football.,I am going to see my friends.,I am going to visit the park.,I will stay home and rest.,I am going to study.
Would you like some water?,"Yes, I love water.","No, thank you.","Just a little, please.","Yes, please.",Maybe later.
Where is the library?,It is next to the school.,Go straight and turn left.,It is near the park.,Across from the supermarket.,I can show you.
Luca lost a bag. What can you say?,Let us ask the teacher.,Was it in the classroom?,Where did you last see it?,Do not worry. We will find it.,I can help you look.
What do you think about this story?,I think it is useful.,I think it is nice.,It looks interesting.,"It is okay, but not my favorite.",I like it a lot.
What time do you usually wake up?,Usually at half past six.,Around 7:00 in the morning.,I wake up at eight on weekends.,I wake up at seven.,I get up early.
Tell me about yourself.,"I am Hana, and I like football.",My name is Hana. I am 9 years old.,Hi! I'm Yuki. Nice to meet you.,I am a student. I like math.,I live in Tokyo.
What did you do yesterday?,I played with my friends.,I watched a movie.,I helped my mom.,I went to the park.,I studied math.
What was your favorite class today?,I enjoyed geography.,I liked math today.,My favorite class was math.,Art was fun.,PE was my favorite.
Why do you like football?,Because I can do it with friends.,Because I feel happy.,Because I am good at it.,Because it is fun.,Because it helps me relax.
"Which is bigger, a frog or a mouse?",A mouse is smaller.,The frog.,I think the frog is bigger.,The frog is bigger than a mouse.,A frog is bigger.
How do you feel today?,I feel fine.,I feel happy.,"A little tired, but okay.",I feel great.,I am happy today.
