bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
What is your name?,People call me Ana.,I'm Ana. Nice to meet you.,My name is Noor.,My name is Ana.,I am Ana.
How old are you?,I am 6 years old.,I turned 6 this year.,6 years old.,I'm 6.,I am 7 years old.
Where are you from?,I live in Tokyo.,I am from Tokyo.,I come from Tokyo.,From Tokyo.,I am from Hanoi.
Do you like school?,School is fun.,A little.,Yes!,I love school!,"Yes, I do."
What is your favorite subject?,Math.,My favorite subject is math.,I like math.,Math is my favorite.,I love PE.
Who is your teacher?,My teacher is kind.,Nico is my teacher.,My teacher is Nico.,Mr. Leo.,Miss Nico.
What do you need for school?,"A book, please.",I need a book and a pencil.,I need my teacher.,My bag and my book.,I need a book.
What day is it today?,I think it is Monday.,Monday.,Today is Sunday.,Today is Monday.,It is Monday.
How is the weather?,The weather is sunny.,It is sunny.,It is cold.,It is rainy.,Okay.
What do you like to eat?,I like egg.,I like cake.,"Pizza, please.",I love egg!,I like fruit.
Who do you live with?,With my mom and dad.,With my grandpa.,I live with my mom.,I live with my sister.,I live with my family.
What do you like to do?,I like cooking.,I like to play.,I like football.,I like reading books.,I love football.
Where do you want to go?,I want to go home.,To the beach.,"To the park, please.",I want to go to the park.,To the park.
"Can you help me, please?",Sure!,"Okay, I can help.",No problem.,"Yes, of course.","Yes, what do you need?"
Hello! How are you today?,I am okay.,I am fine.,I am happy today.,I am a little tired.,"I am good, thank you."
What is your name?,I'm Luca. Nice to meet you.,People call me Luca.,My name is Hana.,I am Luca.,My name is Luca.
How old are you?,I am 7 years old.,I am 6 years old.,I'm 6.,I turned 6 this year.,6 years old.
Where are you from?,I live in Tokyo.,From Tokyo.,I am from Tokyo.,I am from Hanoi.,I come from Tokyo.
Do you like school?,School is fun.,A little.,I love school!,Yes!,"Yes, I do."
What is your favorite subject?,I like math.,Math is my favorite.,Math.,My favorite subject is math.,I love PE.
Who is your teacher?,My teacher is Ana.,My teacher is kind.,Mr. Theo.,Ana is my teacher.,Miss Ana.
What do you need for school?,I need a book.,"A book, please.",My bag and my book.,I need a book and a pencil.,I need my teacher.
What day is it today?,Today is Sunday.,I think it is Monday.,It is Monday.,Monday.,Today is Monday.
How is the weather?,The weather is sunny.,It is rainy.,It is sunny.,It is cold.,Okay.
What do you like to eat?,I like cake.,I like egg.,I like fruit.,"Pizza, please.",I love egg!
Who do you live with?,I live with my family.,With my mom and dad.,With my grandpa.,I live with my mom.,I live with my sister.
What do you like to do?,I like reading books.,I like football.,I like to play.,I like cooking.,I love football.
Where do you want to go?,"To the park, please.",I want to go to the park.,To the park.,I want to go home.,To the beach.
"Can you help me, please?",Sure!,"Yes, of course.","Yes, what do you need?",No problem.,"Okay, I can help."
Hello! How are you today?,"I am good, thank you.",I am happy today.,I am fine.,I am okay.,I am a little tired.
What is your name?,My name is Lila.,I am Lila.,I'm Lila. Nice to meet you.,My name is Sam.,People call me Lila.
How old are you?,I'm 6.,I am 7 years old.,I am 6 years old.,6 years old.,I turned 6 this year.
Where are you from?,I am from Tokyo.,I live in Tokyo.,I am from Hanoi.,From Tokyo.,I come from Tokyo.
Do you like school?,School is fun.,A little.,Yes!,I love school!,"Yes, I do."
What is your favorite subject?,My favorite subject is math.,Math.,I love PE.,Math is my favorite.,I like math.
Who is your teacher?,My teacher is Luca.,My teacher is kind.,Miss Luca.,Mr. Omar.,Luca is my teacher.
What do you need for school?,My bag and my book.,I need my teacher.,I need a book and a pencil.,"A book, please.",I need a book.
What day is it today?,It is Monday.,Today is Sunday.,Monday.,Today is Monday.,I think it is Monday.
How is the weather?,The weather is sunny.,It is rainy.,It is cold.,It is sunny.,Okay.
What do you like to eat?,I love egg!,I like cake.,I like egg.,"Pizza, please.",I like fruit.
Who do you live with?,With my grandpa.,I live with my sister.,With my mom and dad.,I live with my mom.,I live with my family.
What do you like to do?,I like football.,I like cooking.,I like reading books.,I like to play.,I love football.
Where do you want to go?,To the beach.,I want to go home.,I want to go to the park.,To the park.,"To the park, please."
"Can you help me, please?",Sure!,"Okay, I can help.","Yes, what do you need?","Yes, of course.",No problem.
Hello! How are you today?,I am a little tired.,I am okay.,I am happy today.,"I am good, thank you.",I am fine.
What is your name?,People call me Nico.,My name is Nico.,I am Nico.,My name is Maya.,I'm Nico. Nice to meet you.
How old are you?,I'm 6.,I turned 6 this year.,6 years old.,I am 6 years old.,I am 7 years old.
Where are you from?,I come from Tokyo.,I am from Hanoi.,I am from Tokyo.,From Tokyo.,I live in Tokyo.
Do you like school?,I love school!,School is fun.,"Yes, I do.",A little.,Yes!
What is your favorite subject?,I like math.,My favorite subject is math.,I love PE.,Math is my favorite.,Math.
Who is your teacher?,Lila is my teacher.,My teacher is Lila.,My teacher is kind.,Miss Lila.,Mr. Zoe.
What do you need for school?,"A book, please.",My bag and my book.,I need a book and a pencil.,I need my teacher.,I need a book.
What day is it today?,Today is Sunday.,Today is Monday.,Monday.,I think it is Monday.,It is Monday.
How is the weather?,The weather is sunny.,It is sunny.,It is cold.,It is rainy.,Okay.
What do you like to eat?,I like egg.,"Pizza, please.",I love egg!,I like fruit.,I like cake.
Who do you live with?,With my grandpa.,With my mom and dad.,I live with my mom.,I live with my family.,I live with my sister.
What do you like to do?,I love football.,I like reading books.,I like to play.,I like cooking.,I like football.
Where do you want to go?,I want to go home.,"To the park, please.",To the beach.,I want to go to the park.,To the park.
"Can you help me, please?","Okay, I can help.",Sure!,No problem.,"Yes, of course.","Yes, what do you need?"
Hello! How are you today?,I am a little tired.,I am fine.,I am happy today.,I am okay.,"I am good, thank you."
What is your name?,My name is Ana.,I'm Ana. Nice to meet you.,I am Ana.,People call me Ana.,My name is Nico.
How old are you?,I am 7 years old.,I turned 6 this year.,I am 6 years old.,6 years old.,I'm 6.
Where are you from?,I come from Tokyo.,I am from Tokyo.,From Tokyo.,I am from Hanoi.,I live in Tokyo.
Do you like school?,"Yes, I do.",School is fun.,A little.,Yes!,I love school!
What is your favorite subject?,I love PE.,My favorite subject is math.,Math is my favorite.,Math.,I like math.
Who is your teacher?,My teacher is Nico.,My teacher is kind.,Nico is my teacher.,Mr. Ken.,Miss Nico.
What do you need for school?,I need a book.,I need a book and a pencil.,My bag and my book.,I need my teacher.,"A book, please."
What day is it today?,Today is Sunday.,It is Monday.,I think it is Monday.,Today is Monday.,Monday.
How is the weather?,It is rainy.,It is sunny.,It is cold.,The weather is sunny.,Okay.
What do you like to eat?,"Pizza, please.",I like cake.,I like egg.,I love egg!,I like fruit.
Who do you live with?,With my mom and dad.,I live with my sister.,I live with my mom.,With my grandpa.,I live with my family.
What do you like to do?,I like reading books.,I like football.,I like to play.,I like cooking.,I love football.
Where do you want to go?,I want to go to the park.,"To the park, please.",To the beach.,I want to go home.,To the park.
"Can you help me, please?",No problem.,Sure!,"Yes, of course.","Okay, I can help.","Yes, what do you need?"
Hello! How are you today?,"I am good, thank you.",I am okay.,I am happy today.,I am a little tired.,I am fine.
What is your name?,My name is Luca.,My name is Mia.,I am Luca.,I'm Luca. Nice to meet you.,People call me Luca.
How old are you?,I am 6 years old.,I turned 6 this year.,6 years old.,I am 7 years old.,I'm 6.
Where are you from?,From Tokyo.,I come from Tokyo.,I am from Hanoi.,I am from Tokyo.,I live in Tokyo.
Do you like school?,A little.,I love school!,"Yes, I do.",Yes!,School is fun.
What is your favorite subject?,Math.,My favorite subject is math.,I love PE.,I like math.,Math is my favorite.
Who is your teacher?,My teacher is kind.,My teacher is Ana.,Ana is my teacher.,Miss Ana.,Mr. Yuki.
What do you need for school?,I need my teacher.,I need a book.,My bag and my book.,"A book, please.",I need a book and a pencil.
What day is it today?,Monday.,It is Monday.,Today is Monday.,Today is Sunday.,I think it is Monday.
How is the weather?,It is cold.,It is sunny.,It is rainy.,The weather is sunny.,Okay.
What do you like to eat?,I like fruit.,I like egg.,I love egg!,"Pizza, please.",I like cake.
Who do you live with?,I live with my family.,With my grandpa.,With my mom and dad.,I live with my sister.,I live with my mom.
What do you like to do?,I like to play.,I like cooking.,I like reading books.,I like football.,I love football.
Where do you want to go?,I want to go home.,I want to go to the park.,"To the park, please.",To the beach.,To the park.
"Can you help me, please?","Okay, I can help.",No problem.,"Yes, of course.",Sure!,"Yes, what do you need?"
Hello! How are you today?,I am okay.,I am happy today.,"I am good, thank you.",I am a little tired.,I am fine.
What is your name?,I'm Lila. Nice to meet you.,I am Lila.,People call me Lila.,My name is Lila.,Okay.
How old are you?,6 years old.,I am 7 years old.,I am 6 years old.,I'm 6.,I turned 6 this year.
Where are you from?,From Tokyo.,I am from Hanoi.,I am from Tokyo.,I come from Tokyo.,I live in Tokyo.
Do you like school?,Yes!,School is fun.,"Yes, I do.",A little.,I love school!
What is your favorite subject?,Math is my favorite.,I love PE.,Math.,I like math.,My favorite subject is math.
Who is your teacher?,Mr. Noor.,My teacher is Luca.,Luca is my teacher.,Miss Luca.,My teacher is kind.
What do you need for school?,I need a book.,My bag and my book.,I need my teacher.,I need a book and a pencil.,"A book, please."
What day is it today?,Monday.,Today is Sunday.,I think it is Monday.,Today is Monday.,It is Monday.
How is the weather?,It is rainy.,The weather is sunny.,It is sunny.,It is cold.,Okay.
What do you like to eat?,"Pizza, please.",I like egg.,I like fruit.,I love egg!,I like cake.
Who do you live with?,I live with my mom.,With my grandpa.,I live with my family.,I live with my sister.,With my mom and dad.
What do you like to do?,I like reading books.,I like to play.,I like cooking.,I love football.,I like football.
Where do you want to go?,I want to go home.,"To the park, please.",To the park.,To the beach.,I want to go to the park.
"Can you help me, please?","Yes, what do you need?",No problem.,"Okay, I can help.",Sure!,"Yes, of course."
Hello! How are you today?,I am okay.,I am a little tired.,I am happy today.,"I am good, thank you.",I am fine.
What is your name?,My name is Nico.,People call me Nico.,My name is Omar.,I'm Nico. Nice to meet you.,I am Nico.
How old are you?,I am 6 years old.,I am 7 years old.,I'm 6.,6 years old.,I turned 6 this year.
Where are you from?,From Tokyo.,I am from Tokyo.,I am from Hanoi.,I live in Tokyo.,I come from Tokyo.
Do you like school?,School is fun.,Yes!,A little.,"Yes, I do.",I love school!
What is your favorite subject?,I like math.,I love PE.,Math.,My favorite subject is math.,Math is my favorite.
Who is your teacher?,Miss Lila.,Lila is my teacher.,My teacher is Lila.,Mr. Eli.,My teacher is kind.
What do you need for school?,I need my teacher.,My bag and my book.,I need a book and a pencil.,"A book, please.",I need a book.
What day is it today?,It is Monday.,I think it is Monday.,Monday.,Today is Monday.,Today is Sunday.
How is the weather?,It is cold.,It is sunny.,It is rainy.,The weather is sunny.,Okay.
What do you like to eat?,"Pizza, please.",I love egg!,I like egg.,I like fruit.,I like cake.
Who do you live with?,I live with my mom.,I live with my family.,With my mom and dad.,I live with my sister.,With my grandpa.
What do you like to do?,I like reading books.,I like to play.,I like football.,I love football.,I like cooking.
Where do you want to go?,"To the park, please.",To the park.,I want to go to the park.,To the beach.,I want to go home.
"Can you help me, please?","Yes, what do you need?",No problem.,Sure!,"Yes, of course.","Okay, I can help."
Hello! How are you today?,I am happy today.,I am okay.,I am fine.,I am a little tired.,"I am good, thank you."
What is your name?,My name is Zoe.,My name is Ana.,People call me Ana.,I'm Ana. Nice to meet you.,I am Ana.
How old are you?,I am 6 years old.,6 years old.,I'm 6.,I am 7 years old.,I turned 6 this year.
Where are you from?,I am from Tokyo.,I am from Hanoi.,I come from Tokyo.,From Tokyo.,I live in Tokyo.
Do you like school?,School is fun.,A little.,I love school!,"Yes, I do.",Yes!
What is your favorite subject?,I love PE.,I like math.,Math.,My favorite subject is math.,Math is my favorite.
Who is your teacher?,My teacher is kind.,Mr. Ana.,My teacher is Nico.,Nico is my teacher.,Miss Nico.
What do you need for school?,I need my teacher.,"A book, please.",My bag and my book.,I need a book and a pencil.,I need a book.
What day is it today?,I think it is Monday.,It is Monday.,Today is Sunday.,Today is Monday.,Monday.
How is the weather?,It is cold.,It is sunny.,It is rainy.,The weather is sunny.,Okay.
What do you like to eat?,I like egg.,I like cake.,"Pizza, please.",I like fruit.,I love egg!
Who do you live with?,With my mom and dad.,With my grandpa.,I live with my family.,I live with my sister.,I live with my mom.
What do you like to do?,I like reading books.,I like cooking.,I love football.,I like football.,I like to play.
Where do you want to go?,To the beach.,"To the park, please.",I want to go to the park.,To the park.,I want to go home.
"Can you help me, please?",Sure!,"Yes, what do you need?","Okay, I can help.",No problem.,"Yes, of course."
Hello! How are you today?,I am happy today.,"I am good, thank you.",I am fine.,I am okay.,I am a little tired.
What is your name?,I am Luca.,I'm Luca. Nice to meet you.,My name is Sara.,My name is Luca.,People call me Luca.
How old are you?,I'm 6.,I am 6 years old.,I turned 6 this year.,6 years old.,I am 7 years old.
Where are you from?,From Tokyo.,I am from Hanoi.,I live in Tokyo.,I come from Tokyo.,I am from Tokyo.
Do you like school?,I love school!,Yes!,School is fun.,"Yes, I do.",A little.
What is your favorite subject?,I love PE.,I like math.,My favorite subject is math.,Math is my favorite.,Math.
Who is your teacher?,My teacher is Ana.,Mr. Rui.,Ana is my teacher.,Miss Ana.,My teacher is kind.
What do you need for school?,I need a book.,"A book, please.",My bag and my book.,I need a book and a pencil.,I need my teacher.
What day is it today?,It is Monday.,Today is Sunday.,I think it is Monday.,Monday.,Today is Monday.
How is the weather?,The weather is sunny.,It is rainy.,It is cold.,It is sunny.,Okay.
What do you like to eat?,I like cake.,"Pizza, please.",I like fruit.,I love egg!,I like egg.
Who do you live with?,With my mom and dad.,With my grandpa.,I live with my family.,I live with my sister.,I live with my mom.
What do you like to do?,I love football.,I like reading books.,I like cooking.,I like football.,I like to play.
Where do you want to go?,To the beach.,I want to go to the park.,I want to go home.,To the park.,"To the park, please."
"Can you help me, please?","Okay, I can help.",Sure!,"Yes, of course.","Yes, what do you need?",No problem.
Hello! How are you today?,I am a little tired.,"I am good, thank you.",I am fine.,I am okay.,I am happy today.
What is your name?,I am Lila.,I'm Lila. Nice to meet you.,My name is Ben.,People call me Lila.,My name is Lila.
How old are you?,I am 6 years old.,I turned 6 this year.,I'm 6.,6 years old.,I am 7 years old.
Where are you from?,I am from Tokyo.,I am from Hanoi.,I live in Tokyo.,From Tokyo.,I come from Tokyo.
Do you like school?,A little.,I love school!,"Yes, I do.",School is fun.,Yes!
What is your favorite subject?,I like math.,Math is my favorite.,My favorite subject is math.,Math.,I love PE.
Who is your teacher?,Luca is my teacher.,Mr. Nico.,My teacher is Luca.,My teacher is kind.,Miss Luca.
What do you need for school?,I need a book and a pencil.,My bag and my book.,I need a book.,"A book, please.",I need my teacher.
What day is it today?,Monday.,It is Monday.,Today is Monday.,Today is Sunday.,I think it is Monday.
How is the weather?,It is rainy.,The weather is sunny.,It is sunny.,It is cold.,Okay.
What do you like to eat?,I like cake.,I like egg.,I like fruit.,"Pizza, please.",I love egg!
Who do you live with?,I live with my family.,I live with my mom.,With my grandpa.,With my mom and dad.,I live with my sister.
What do you like to do?,I like football.,I like to play.,I like reading books.,I love football.,I like cooking.
Where do you want to go?,To the park.,To the beach.,"To the park, please.",I want to go home.,I want to go to the park.
"Can you help me, please?","Yes, what do you need?",Sure!,No problem.,"Yes, of course.","Okay, I can help."
Hello! How are you today?,I am fine.,I am happy today.,I am a little tired.,"I am good, thank you.",I am okay.
What is your name?,People call me Nico.,My name is Noor.,I'm Nico. Nice to meet you.,I am Nico.,My name is Nico.
How old are you?,I turned 6 this year.,I am 6 years old.,I'm 6.,6 years old.,I am 7 years old.
Where are you from?,I come from Tokyo.,I am from Tokyo.,I am from Hanoi.,I live in Tokyo.,From Tokyo.
Do you like school?,School is fun.,I love school!,A little.,"Yes, I do.",Yes!
What is your favorite subject?,My favorite subject is math.,Math.,Math is my favorite.,I like math.,I love PE.
Who is your teacher?,Lila is my teacher.,My teacher is Lila.,My teacher is kind.,Mr. Leo.,Miss Lila.
What do you need for school?,I need my teacher.,My bag and my book.,I need a book and a pencil.,I need a book.,"A book, please."
What day is it today?,Monday.,I think it is Monday.,Today is Monday.,It is Monday.,Today is Sunday.
How is the weather?,It is rainy.,It is cold.,It is sunny.,The weather is sunny.,Okay.
What do you like to eat?,I love egg!,"Pizza, please.",I like fruit.,I like egg.,I like cake.
Who do you live with?,I live with my sister.,With my grandpa.,I live with my mom.,I live with my family.,With my mom and dad.
What do you like to do?,I like cooking.,I like football.,I like to play.,I like reading books.,I love football.
Where do you want to go?,To the beach.,"To the park, please.",To the park.,I want to go to the park.,I want to go home.
"Can you help me, please?","Yes, of course.","Okay, I can help.",No problem.,Sure!,"Yes, what do you need?"
Hello! How are you today?,I am happy today.,I am a little tired.,I am okay.,I am fine.,"I am good, thank you."
What is your name?,I am Ana.,I'm Ana. Nice to meet you.,My name is Eli.,My name is Ana.,People call me Ana.
How old are you?,I am 6 years old.,6 years old.,I'm 6.,I turned 6 this year.,I am 7 years old.
Where are you from?,I come from Tokyo.,I am from Tokyo.,I live in Tokyo.,I am from Hanoi.,From Tokyo.
Do you like school?,"Yes, I do.",Yes!,A little.,I love school!,School is fun.
What is your favorite subject?,Math is my favorite.,I love PE.,My favorite subject is math.,I like math.,Math.
Who is your teacher?,Miss Nico.,Nico is my teacher.,Mr. Theo.,My teacher is kind.,My teacher is Nico.
What do you need for school?,I need a book.,I need my teacher.,"A book, please.",I need a book and a pencil.,My bag and my book.
What day is it today?,Today is Monday.,Monday.,I think it is Monday.,Today is Sunday.,It is Monday.
How is the weather?,The weather is sunny.,It is sunny.,It is cold.,It is rainy.,Okay.
What do you like to eat?,I like egg.,I love egg!,"Pizza, please.",I like cake.,I like fruit.
Who do you live with?,I live with my family.,With my mom and dad.,I live with my sister.,I live with my mom.,With my grandpa.
What do you like to do?,I like to play.,I like reading books.,I love football.,I like football.,I like cooking.
Where do you want to go?,I want to go home.,To the beach.,"To the park, please.",I want to go to the park.,To the park.
"Can you help me, please?",No problem.,Sure!,"Okay, I can help.","Yes, of course.","Yes, what do you need?"
Hello! How are you today?,I am a little tired.,I am happy today.,I am fine.,"I am good, thank you.",I am okay.
What is your name?,People call me Luca.,My name is Sam.,I'm Luca. Nice to meet you.,My name is Luca.,I am Luca.
How old are you?,I am 7 years old.,6 years old.,I'm 6.,I am 6 years old.,I turned 6 this year.
Where are you from?,I am from Tokyo.,I live in Tokyo.,From Tokyo.,I come from Tokyo.,I am from Hanoi.
Do you like school?,A little.,School is fun.,"Yes, I do.",Yes!,I love school!
What is your favorite subject?,Math is my favorite.,I love PE.,Math.,My favorite subject is math.,I like math.
Who is your teacher?,My teacher is Ana.,Mr. Lara.,Miss Ana.,My teacher is kind.,Ana is my teacher.
What do you need for school?,I need a book and a pencil.,I need my teacher.,My bag and my book.,I need a book.,"A book, please."
What day is it today?,I think it is Monday.,It is Monday.,Today is Sunday.,Monday.,Today is Monday.
How is the weather?,It is sunny.,It is rainy.,It is cold.,The weather is sunny.,Okay.
What do you like to eat?,I like egg.,I like fruit.,"Pizza, please.",I love egg!,I like cake.
Who do you live with?,I live with my sister.,With my mom and dad.,With my grandpa.,I live with my family.,I live with my mom.
What do you like to do?,I like football.,I like cooking.,I like to play.,I like reading books.,I love football.
Where do you want to go?,To the beach.,"To the park, please.",To the park.,I want to go to the park.,I want to go home.
"Can you help me, please?",Sure!,"Yes, of course.","Okay, I can help.","Yes, what do you need?",No problem.
Hello! How are you today?,I am fine.,I am happy today.,I am a little tired.,I am okay.,"I am good, thank you."
What is your name?,My name is Maya.,I'm Lila. Nice to meet you.,My name is Lila.,People call me Lila.,I am Lila.
How old are you?,6 years old.,I am 7 years old.,I am 6 years old.,I turned 6 this year.,I'm 6.
Where are you from?,I am from Tokyo.,From Tokyo.,I am from Hanoi.,I come from Tokyo.,I live in Tokyo.
Do you like school?,"Yes, I do.",School is fun.,A little.,Yes!,I love school!
What is your favorite subject?,I like math.,I love PE.,My favorite subject is math.,Math.,Math is my favorite.
Who is your teacher?,My teacher is Luca.,My teacher is kind.,Mr. Zoe.,Miss Luca.,Luca is my teacher.
What do you need for school?,I need a book and a pencil.,I need a book.,I need my teacher.,My bag and my book.,"A book, please."
What day is it today?,It is Monday.,I think it is Monday.,Today is Monday.,Today is Sunday.,Monday.
How is the weather?,It is sunny.,It is rainy.,The weather is sunny.,It is cold.,Okay.
What do you like to eat?,I love egg!,I like egg.,I like fruit.,I like cake.,"Pizza, please."
Who do you live with?,I live with my sister.,I live with my mom.,I live with my family.,With my grandpa.,With my mom and dad.
What do you like to do?,I like football.,I like cooking.,I like to play.,I like reading books.,I love football.
Where do you want to go?,To the beach.,I want to go home.,To the park.,I want to go to the park.,"To the park, please."
"Can you help me, please?",Sure!,"Yes, of course.","Yes, what do you need?","Okay, I can help.",No problem.
Hello! How are you today?,I am okay.,I am happy today.,I am fine.,"I am good, thank you.",I am a little tired.
What is your name?,I am Nico.,My name is Nico.,I'm Nico. Nice to meet you.,People call me Nico.,Okay.
How old are you?,I turned 6 this year.,I am 7 years old.,I'm 6.,I am 6 years old.,6 years old.
Where are you from?,I come from Tokyo.,I am from Tokyo.,From Tokyo.,I live in Tokyo.,I am from Hanoi.
Do you like school?,I love school!,Yes!,"Yes, I do.",A little.,School is fun.
What is your favorite subject?,Math.,Math is my favorite.,I love PE.,I like math.,My favorite subject is math.
Who is your teacher?,Mr. Ken.,Miss Lila.,My teacher is kind.,Lila is my teacher.,My teacher is Lila.
What do you need for school?,My bag and my book.,I need a book.,I need my teacher.,I need a book and a pencil.,"A book, please."
What day is it today?,Today is Sunday.,Today is Monday.,It is Monday.,I think it is Monday.,Monday.
How is the weather?,The weather is sunny.,It is sunny.,It is rainy.,It is cold.,Okay.
What do you like to eat?,"Pizza, please.",I like fruit.,I like cake.,I like egg.,I love egg!
Who do you live with?,I live with my family.,With my grandpa.,I live with my sister.,With my mom and dad.,I live with my mom.
What do you like to do?,I like reading books.,I like football.,I love football.,I like cooking.,I like to play.
Where do you want to go?,I want to go to the park.,I want to go home.,"To the park, please.",To the park.,To the beach.
"Can you help me, please?",Sure!,"Yes, of course.",No problem.,"Yes, what do you need?","Okay, I can help."
Hello! How are you today?,I am a little tired.,I am happy today.,I am fine.,"I am good, thank you.",I am okay.
